id_expediente,numero,fecha_ingreso,sumario,rol_claudia,rol_recalculado,autoría_confirmada,rol_consistente,cantidad_autores,autores,tipo_oficial,estado_actual,etapa_ciclo,ubicacion,giros,ultimo_movimiento,evidencia_sancion,fuentes_sancion,fuentes_captura,ficha_oficial_completa,url_expediente,es_832_2026
142272,2683-D-2026,2026-09-01T15:00:03,SE DECLARA PERSONALIDAD DESTACADA EN EL ÁMBITO DE LA SALUD A LA DRA. FLORENCIA CAROLINA SALORT.,autora,autora,True,True,1,"NEGRI, CLAUDIA",DECLARACION,ingresado,en_comision,MEP,(GIRO AUN NO ASIGNADO),"{""fecha"": ""2026-09-02"", ""oficina"": ""MEP"", ""descripcion"": ""ESPERANDO ENVIO A COMISION (ESPERANDO RECEPCION)""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142272,False
142257,2668-D-2026,2026-08-31T17:38:24,"BENEPLÁCITO POR LA OBTENCIÓN DE LA SEGUNDA MEDALLA DE BRONCE MUNDIAL POR PARTE DE LA SELECCIÓN ARGENTINA MASCULINA DE HOCKEY SOBRE CÉSPED, “LOS LEONES”",coautora,coautora,True,True,14,"NEIRA, CLAUDIA | BIELLI, MARÍA | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | GRILLO, ALEJANDRO OMAR | LA BLUNDA, ANDRÉS | LAMMENS , MATÍAS | MODARELLI, JUAN PABLO | NEGRI, CLAUDIA | PEÑAFORT, GRACIANA | SALVATIERRA, ALEJANDRO | SANTORO, LEANDRO",DECLARACION,ingresado,en_comision,MEP,(GIRO AUN NO ASIGNADO),"{""fecha"": ""2026-09-02"", ""oficina"": ""MEP"", ""descripcion"": ""ESPERANDO ENVIO A COMISION (ESPERANDO RECEPCION)""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142257,False
142247,2656-D-2026,2026-08-31T10:14:07,"BENEPLÁCITO POR LA OBTENCIÓN DEL TERCER CAMPEONATO MUNDIAL DE LA SELECCIÓN ARGENTINA DE HOCKEY FEMENINO, ""LAS LEONAS""",coautora,coautora,True,True,19,"NEIRA, CLAUDIA | BARROETAVEÑA, MATÍAS | BIELLI, MARÍA | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | GRILLO, ALEJANDRO OMAR | IAÑEZ, BERENICE | LA BLUNDA, ANDRÉS | LAMMENS , MATÍAS | MOCHI, FEDERICO | MODARELLI, JUAN PABLO | NEGRI, CLAUDIA | PEÑAFORT, GRACIANA | ROSSEN, BÁRBARA | SALVATIERRA, ALEJANDRO | SANTORO, LEANDRO | VELÁZQUEZ, DELFINA",DECLARACION,en_comision,en_comision,TURISMO Y DEPORTES,TURISMO Y DEPORTES,"{""fecha"": ""2026-09-02"", ""oficina"": ""TURISMO Y DEPORTES"", ""descripcion"": ""EXPEDIENTE AGREGADO A UN EXPEDIENTE-CABEZA""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142247,False
142234,2645-D-2026,2026-08-28T12:22:57,SE CONMEMORA EL “DÍA DE LA PREVENCIÓN DEL SUICIDIO”,autora,autora,True,True,1,"NEGRI, CLAUDIA",DECLARACION,en_comision,en_comision,SALUD,SALUD,"{""fecha"": ""2026-09-01"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142234,False
142209,2622-D-2026,2026-08-26T12:20:17,SE DECLARA DE INTERÉS SANITARIO EL “ENCUENTRO METROPOLITANO DE SALUD PÚBLICA”,autora,autora,True,True,1,"NEGRI, CLAUDIA",DECLARACION,sancionado,sancionado,MEP,SALUD,"{""fecha"": ""2026-09-01"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones | actividad_recinto,radar_ingresos | seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142209,False
142160,2576-D-2026,2026-08-21T13:58:27,INFORMES RELATIVOS A LA PROVISIÓN DE MEDICAMENTOS EN LA FARMACIA DEL CENTRO DE SALUD Y ACCIÓN COMUNITARIA (CESAC) 22,coautora,coautora,True,True,7,"LAMMENS , MATÍAS | BARROETAVEÑA, MATÍAS | FERREÑO, CLAUDIO AMÉRICO | IAÑEZ, BERENICE | NEGRI, CLAUDIA | ROSSEN, BÁRBARA | VELÁZQUEZ, DELFINA",RESOLUCION,en_comision,en_comision,SALUD,SALUD,"{""fecha"": ""2026-08-25"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142160,False
142057,2478-D-2026,2026-08-13T15:03:04,"PREOCUPACIÓN POR LA BAJA TASA DE COBERTURA DE VACUNAS DEL CALENDARIO NACIONAL EN NIÑOS, NIÑAS Y ADOLESCENTES EN LA CIUDAD.",coautora,coautora,True,True,11,"VELÁZQUEZ, DELFINA | BARROETAVEÑA, MATÍAS | BIELLI, MARÍA | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | LA BLUNDA, ANDRÉS | MODARELLI, JUAN PABLO | NEGRI, CLAUDIA | NEIRA, CLAUDIA | PEÑAFORT, GRACIANA",DECLARACION,en_comision,en_comision,SALUD,SALUD,"{""fecha"": ""2026-08-18"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142057,False
142051,2473-D-2026,2026-08-13T12:51:30,"SE CONMEMORA EL “DÍA DE LAS/LOS LICENCIADAS/OS EN OBSTETRICIA""",autora,autora,True,True,10,"NEGRI, CLAUDIA | BARROETAVEÑA, MATÍAS | CAPORICCIO, FRANCISCO | FREIRE, VICTORIA | GEMINIANI, NOEMÍ | GONZÁLEZ, ANDREA MARIANA | IAÑEZ, BERENICE | NEIRA, CLAUDIA | PEÑAFORT, GRACIANA | VELÁZQUEZ, DELFINA",DECLARACION,sancionado,sancionado,MEP,SALUD,"{""fecha"": ""2026-08-31"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones | actividad_recinto,radar_ingresos | seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142051,False
142049,2471-D-2026,2026-08-13T12:39:24,RECONOCIMIENTO A LA TRAYECTORIA BOXÍSTICA DEL SEÑOR JUAN MARTÍN “LÁTIGO” COGGI,coautora,coautora,True,True,4,"IAÑEZ, BERENICE | FERREÑO, CLAUDIO AMÉRICO | NEGRI, CLAUDIA | NEIRA, CLAUDIA",DECLARACION,en_comision,en_comision,TURISMO Y DEPORTES,TURISMO Y DEPORTES,"{""fecha"": ""2026-08-18"", ""oficina"": ""TURISMO Y DEPORTES"", ""descripcion"": ""EN COMISION""}",False,,radar_ingresos | seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142049,False
142047,2469-D-2026,2026-08-13T12:31:47,SE DECLARA PERSONALIDAD DESTACADA EN EL ÁMBITO DE LA COMUNICACIÓN AL REPORTERO GRÁFICO PABLO GRILLO,coautora,coautora,True,True,19,"IAÑEZ, BERENICE | BARROETAVEÑA, MATÍAS | BIELLI, MARÍA | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GEMINIANI, NOEMÍ | GONZÁLEZ, ANDREA MARIANA | GRILLO, ALEJANDRO OMAR | LA BLUNDA, ANDRÉS | LAMMENS , MATÍAS | MOCHI, FEDERICO | MODARELLI, JUAN PABLO | NEGRI, CLAUDIA | NEIRA, CLAUDIA | PEÑAFORT, GRACIANA | SALVATIERRA, ALEJANDRO | SANTORO, LEANDRO | VELÁZQUEZ, DELFINA",DECLARACION,sancionado,sancionado,MEP,CULTURA,"{""fecha"": ""2026-08-31"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones | actividad_recinto,radar_ingresos | seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=142047,False
