id,x,y,dcia,tipo,cuartel,gestion,calle_ofic,inters,altura,direcci,tel,barrio,comuna,codigo_pos,codigo_p_1,observcion,geometry
1,-58.388151022530536,-34.613319815990785,Cuartel Central,Cuartel Central,I,Policía Federal Argentina,Belgrano Av.,,1547,Belgrano Av. 1547,4370-5857,Monserrat,Comuna 1,,,,POINT (-58.388151022530536 -34.613319815990785)
3,-58.4526996592821,-34.592096855488606,Destacamento Chacarita,Destacamento,,CABA,"Dumont, Santos",,4350,"Dumont, Santos 4350",911,Chacarita,Comuna 15,,,,POINT (-58.4526996592821 -34.592096855488606)
4,-58.479216453235026,-34.553318291583295,Destacamento G.E.R.  Saavedra,Destacamento,,CABA,Jaramillo,,3551,Jaramillo 3551,911,Saavedra,Comuna 12,,,Brigada Especial Federal De Rescate (BEFER),POINT (-58.479216453235026 -34.553318291583295)
5,-58.435416174223086,-34.630274300622325,Destacamento G.E.R. Caballito,Destacamento,,CABA,Riglos,,959,Riglos 959,911,Parque Chacabuco,Comuna 7,,,Brigada Especial Federal De Rescate (BEFER),POINT (-58.435416174223086 -34.630274300622325)
6,-58.35677132008628,-34.63803701196811,Destacamento Boca,Destacamento,,CABA,Don Pedro De Mendoza Av.,Don Pedro De Mendoza Av.,,"Don Pedro De Mendoza Av. y Brown, Alte. Av.",911,La Boca,Comuna 4,,,,POINT (-58.35677132008628 -34.63803701196811)
8,-58.416897167554446,-34.658673283646486,Destacamento Nueva Pompeya,Destacamento,,CABA,Saenz Av.,,1457,Saenz Av. 1457,911,Nueva Pompeya,Comuna 4,,,,POINT (-58.416897167554446 -34.658673283646486)
10,-58.40838583548803,-34.60806641286279,Destacamento Miserere,Destacamento,,CABA,"Peron, Juan Domingo, Tte. General",,2930,"Peron, Juan Domingo, Tte. General 2930",911,Balvanera,Comuna 3,,,,POINT (-58.40838583548803 -34.60806641286279)
11,-58.435811167564765,-34.57752636683331,Destacamento Palermo,Destacamento,,CABA,Guatemala,,5966,Guatemala 5966,911,Palermo,Comuna 14,,,,POINT (-58.435811167564765 -34.57752636683331)
13,-58.379981659837284,-34.584197745704614,Destacamento Retiro,Destacamento,,CABA,Islas Galapagos,,2292,Islas Galapagos 2292,911,Retiro,Comuna 1,,,,POINT (-58.379981659837284 -34.584197745704614)
14,-58.48765309490748,-34.64489397539736,Destacamento Vélez Sarsfield,Destacamento,,CABA,"Rodo, Jose E.",,4474,"Rodo, Jose E. 4474",911,Parque Avellaneda,Comuna 9,,,Brigada Especial Federal De Rescate (BEFER),POINT (-58.48765309490748 -34.64489397539736)
15,-58.51553979511348,-34.59827610132016,Destacamento Devoto,Destacamento,,CABA,"Cubas, Jose",,4142,"Cubas, Jose 4142",911,Villa Devoto,Comuna 11,,,,POINT (-58.51553979511348 -34.59827610132016)
16,-58.4898799173184,-34.57902828421307,Destacamento Villa Urquiza,Destacamento,,CABA,Olazabal Av.,,5446,Olazabal Av. 5446,911,Villa Urquiza,Comuna 12,,,,POINT (-58.4898799173184 -34.57902828421307)
17,-58.40301240153446,-34.63647318072244,Estacion II Patricios,Estacion,II,CABA,Caseros Av.,,2849,Caseros Av. 2849,911,Parque Patricios,Comuna 4,,,,POINT (-58.40301240153446 -34.63647318072244)
18,-58.367347991731926,-34.63727909540629,Estacion III Barracas,Estacion,III,CABA,Brandsen,,1046,Brandsen 1046,911,La Boca,Comuna 4,,,,POINT (-58.367347991731926 -34.63727909540629)
19,-58.40244017609721,-34.58998036964887,Estacion IV Recoleta,Estacion,IV,CABA,Laprida,,1739,Laprida 1739,911,Recoleta,Comuna 2,,,,POINT (-58.40244017609721 -34.58998036964887)
20,-58.52393061614868,-34.62951286297163,Estacion IX Versailles,Estacion,IX,CABA,"Porcel De Peralta, Manuel",,750,"Porcel De Peralta, Manuel 750",911,Versalles,Comuna 10,,,,POINT (-58.52393061614868 -34.62951286297163)
21,-58.45710675360257,-34.56011033887419,Estacion V Comandante General Ariel Gastón Vázquez,Estacion,V,CABA,Vuelta De Obligado,,2254,Vuelta De Obligado 2254,911,Belgrano,Comuna 13,,,,POINT (-58.45710675360257 -34.56011033887419)
22,-58.440391598784274,-34.59867886021807,Estacion VI Comisario Mayor Maximiliano Cruz Firma Paz,Estacion,VI,CABA,Corrientes Av.,,5340,Corrientes Av. 5340,911,Villa Crespo,Comuna 15,,,,POINT (-58.440391598784274 -34.59867886021807)
