long,lat,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3704170708596,-34.6298898562956,PILCOMAYO,1182,Boca,Comuna 4,1163,C1163AED
-58.3704859550957,-34.6291182090609,DEFENSA,1798,San Telmo,Comuna 1,1143,C1143AAL
-58.3717911204812,-34.6279937975659,FINOCHIETTO ENRIQUE DR.,465,Barracas,Comuna 4,1143,C1143ABA
-58.3769230817848,-34.6228877121694,PIEDRAS,1260,Constitucion,Comuna 1,1140,C1140ABB
-58.3785963210005,-34.6273244072244,BRASIL,1001,Constitucion,Comuna 1,1154,C1154AAQ
-58.374327686014,-34.6087450544938,DE MAYO AV.,560,Monserrat,Comuna 1,1084,C1084AAN
-58.3752074695365,-34.6088014099784,DE MAYO AV.,620,Monserrat,Comuna 1,1084,C1084AAO
-58.3756761258011,-34.6088342013014,DE MAYO AV.,654,Monserrat,Comuna 1,1084,C1084AAO
-58.3778088585767,-34.6089833466708,DE MAYO AV.,802,Monserrat,Comuna 1,1084,C1084AAQ
-58.3788340157958,-34.6090550088375,DE MAYO AV.,878,Monserrat,Comuna 1,1084,C1084AAQ
-58.3797341135406,-34.6091175116076,DE MAYO AV.,938,Monserrat,Comuna 1,1084,C1084AAR
-58.3765612901036,-34.6091963284431,,91,,,,
-58.3780378797023,-34.6080487001607,,14,,,,
-58.3751815793154,-34.6078650638271,RIVADAVIA AV.,611,San Nicolas,Comuna 1,1002,C1002AAE
-58.3744632031107,-34.6072693057108,Av. Pres. Roque Sáenz Peña,571,San Nicolas,Comuna 1,1035,C1035AAA
-58.3758725348176,-34.6069617624145,"SAENZ PEÑA, ROQUE, PRES. AV.",660,San Nicolas,Comuna 1,1035,C1035AAO
-58.3768716189976,-34.6064387674176,"SAENZ PEÑA, ROQUE, PRES. AV.",720,San Nicolas,Comuna 1,1035,C1035AAP
-58.3785297920696,-34.6055683703469,"SAENZ PEÑA, ROQUE, PRES. AV.",832,San Nicolas,Comuna 1,1035,C1035AAQ
-58.3800028110693,-34.604795176025,Av. Pres. Roque Sáenz Peña,924,San Nicolas,Comuna 1,1035,C1035AAR
-58.3798670371199,-34.6044393446601,"SAENZ PEÑA, ROQUE, PRES. AV.",929,San Nicolas,Comuna 1,1035,C1035AAE
-58.3806180625924,-34.6040168234243,"SAENZ PEÑA, ROQUE, PRES. AV.",983,San Nicolas,Comuna 1,1035,C1035AAE
-58.380081538261,-34.6052139715893,CARABELAS,273,San Nicolas,Comuna 1,1009,C1009AAA
-58.380063875256,-34.6056143501568,CARABELAS,237,San Nicolas,Comuna 1,1009,C1009AAA
-58.3818302672076,-34.6086258251949,Rivadavia Av.,1090,Monserrat,Comuna 1,1033,C1033AAN
-58.3808034030084,-34.608561167427,Rivadavia Av.,1010,Monserrat,Comuna 1,1033,C1033AAN
-58.3818982355279,-34.6075110742238,BARTOLOME MITRE,1090,San Nicolas,Comuna 1,1036,C1036AAT
-58.3808585861569,-34.6074432544776,BARTOLOME MITRE,1010,San Nicolas,Comuna 1,1036,C1036AAT
-58.3809179047206,-34.6070855678576,BARTOLOME MITRE,1011,San Nicolas,Comuna 1,1036,C1036AAS
-58.3797093593263,-34.6034100038029,CORRIENTES AV.,913,San Nicolas,Comuna 1,1043,C1043AAJ
-58.3784016444098,-34.6033298970526,CORRIENTES AV.,821,San Nicolas,Comuna 1,1043,C1043AAI
-58.3768024423016,-34.603231954845,CORRIENTES AV.,707,San Nicolas,Comuna 1,1043,C1043AAH
-58.3757501410742,-34.6031674480249,CORRIENTES AV.,635,San Nicolas,Comuna 1,1043,C1043AAG
-58.3746974154907,-34.6031029208146,CORRIENTES AV.,561,San Nicolas,Comuna 1,1043,C1043AAF
-58.3743506070812,-34.6034432335851,CORRIENTES AV.,538,San Nicolas,Comuna 1,1043,C1043AAS
-58.3732686851043,-34.6030153569178,CORRIENTES AV.,457,San Nicolas,Comuna 1,1043,C1043AAE
-58.3713925048303,-34.602894905599,CORRIENTES AV.,319,San Nicolas,Comuna 1,1043,C1043AAD
-58.3810673379537,-34.602337459181,LAVALLE,1001,San Nicolas,Comuna 1,1048,C1048AAA
-58.381129351507,-34.6011756981741,TUCUMAN,1001,San Nicolas,Comuna 1,1049,C1049AAU
-58.3811109831515,-34.6015359550215,TUCUMAN,1002,San Nicolas,Comuna 1,1049,C1049AAV
-58.3812148372325,-34.6000356626633,VIAMONTE,1001,San Nicolas,Comuna 1,1053,C1053ABU
-58.3811688549172,-34.6003942292922,VIAMONTE,1002,San Nicolas,Comuna 1,1053,C1053ABV
-58.3801833805052,-34.6047551691855,CARABELAS,371,,,,
