long,lat,calle_nombre,calle_altura,direccion,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4701834189609,-34.6013248278239,12 DE OCTUBRE,1780,12 DE OCTUBRE 1780,Paternal,Comuna 15,1416,C1416FID
-58.4701983039166,-34.6013645724253,12 DE OCTUBRE,1790,12 DE OCTUBRE 1790,Paternal,Comuna 15,1416,C1416FID
-58.4618755799596,-34.5857278102103,14 DE JULIO,698,14 DE JULIO 698,Villa Ortuzar,Comuna 15,1427,C1427CJN
-58.3993179113845,-34.6336832241074,15 DE NOVIEMBRE DE 1889,2574,15 DE NOVIEMBRE DE 1889 2574,Parque Patricios,Comuna 4,1261,C1261AAP
-58.4104702620878,-34.624380338548,24 DE NOVIEMBRE,1193,24 DE NOVIEMBRE 1193,San Cristobal,Comuna 3,1224,C1224AAM
-58.4091265625896,-34.6375286279292,24 DE NOVIEMBRE,2291,24 DE NOVIEMBRE 2291,Parque Patricios,Comuna 4,1242,C1242AAU
-58.4403957342057,-34.5979827197719,ACEVEDO,421,ACEVEDO 421,Villa Crespo,Comuna 15,1414,C1414DJI
-58.4307312480221,-34.6154748657331,,17,"ACEVEDO, EDUARDO 17",,,,
-58.4720451939207,-34.5819533926656,"ACHA, MARIANO, GRAL.",1143,"ACHA, MARIANO, GRAL. 1143",Villa Ortuzar,Comuna 15,1427,C1427DBE
-58.4720993754764,-34.5796450903636,"ACHA, MARIANO, GRAL.",1359,"ACHA, MARIANO, GRAL. 1359",Villa Ortuzar,Comuna 15,1430,C1430DUA
-58.4820869774404,-34.6341056630116,,14,"ACOSTA, MARIANO AV. 14",,,,
-58.4678560248226,-34.645482309155,"ACOSTA, MARIANO AV.",1387,"ACOSTA, MARIANO AV. 1387",Parque Avellaneda,Comuna 9,1407,C1407KCA
-58.4215396496135,-34.5962443722688,"ACUÑA DE FIGUEROA, FRANCISCO",1312,"ACUÑA DE FIGUEROA, FRANCISCO 1312",Palermo,Comuna 14,1180,C1180AAZ
-58.4219987653437,-34.5987662129524,"ACUÑA DE FIGUEROA, FRANCISCO",1050,"ACUÑA DE FIGUEROA, FRANCISCO 1050",Almagro,Comuna 5,1180,C1180AAT
-58.4226491557091,-34.6032831270785,"ACUÑA DE FIGUEROA, FRANCISCO",682,"ACUÑA DE FIGUEROA, FRANCISCO 682",Almagro,Comuna 5,1180,C1180AAL
-58.4074558177562,-34.5919159373474,AGUERO,1576,AGUERO 1576,Recoleta,Comuna 2,1425,C1425EHJ
-58.4064021941031,-34.591034341979,AGUERO,1684,AGUERO 1684,Recoleta,Comuna 2,1425,C1425EHL
-58.4085765969425,-34.5935626528996,AGUERO,1369,AGUERO 1369,Recoleta,Comuna 2,1425,C1425EHE
-58.4073473220226,-34.5918057659735,AGUERO,1586,AGUERO 1586,Recoleta,Comuna 2,1425,C1425EHJ
-58.4073473220226,-34.5918057659735,AGUERO,1590,AGUERO 1590,Recoleta,Comuna 2,1425,C1425EHJ
-58.4064135880314,-34.591042757709,AGUERO,1682,AGUERO 1682,Recoleta,Comuna 2,1425,C1425EHL
-58.4466147696128,-34.5684811893,AGUILAR,2328,AGUILAR 2328,Palermo,Comuna 14,1426,C1426DSH
-58.4467551065552,-34.5686415373881,AGUILAR,2340,AGUILAR 2340,Palermo,Comuna 14,1426,C1426DSH
-58.4472425088379,-34.569195887589,AGUILAR,2418,AGUILAR 2418,Colegiales,Comuna 13,1426,C1426DSJ
-58.4408839062389,-34.5919916137349,AGUIRRE,1109,AGUIRRE 1109,Villa Crespo,Comuna 15,1414,C1414ASW
-58.4356444515189,-34.5975848100548,AGUIRRE,511,AGUIRRE 511,Villa Crespo,Comuna 15,1414,C1414ASK
-58.5099755748625,-34.6392304056866,,8,ALBARIÑO 8,,,,
-58.5100433275149,-34.6393207748858,,9,ALBARIÑO 9,,,,
-58.4925491498327,-34.643654767458,"ALBERDI, JUAN BAUTISTA AV.",4724,"ALBERDI, JUAN BAUTISTA AV. 4724",Parque Avellaneda,Comuna 9,1407,C1407HAO
-58.502576777566,-34.6515028905568,"ALBERDI, JUAN BAUTISTA AV.",5827,"ALBERDI, JUAN BAUTISTA AV. 5827",Mataderos,Comuna 9,1440,C1440AAJ
-58.503579107998,-34.6524435573549,"ALBERDI, JUAN BAUTISTA AV.",5933,"ALBERDI, JUAN BAUTISTA AV. 5933",Mataderos,Comuna 9,1440,C1440AAK
-58.4003956390534,-34.6233181790732,ALBERTI,1192,ALBERTI 1192,San Cristobal,Comuna 3,1223,C1223AAN
-58.400274292745,-34.6247743957819,ALBERTI,1292,ALBERTI 1292,San Cristobal,Comuna 3,1247,C1247AAB
-58.4000430253921,-34.6272230497209,ALBERTI,1500,ALBERTI 1500,San Cristobal,Comuna 3,1247,C1247AAF
-58.3999010235407,-34.6282420207204,ALBERTI,1590,ALBERTI 1590,San Cristobal,Comuna 3,1247,C1247AAH
-58.3995632971301,-34.6295680352856,ALBERTI,1692,ALBERTI 1692,Parque Patricios,Comuna 4,1247,C1247AAJ
-58.4015481657565,-34.6117215730987,ALBERTI,174,ALBERTI 174,Balvanera,Comuna 3,1082,C1082AAD
-58.3975768757547,-34.6354387721698,ALBERTI,2195,ALBERTI 2195,Parque Patricios,Comuna 4,1247,C1247AAS
-58.401410152711,-34.6131351282893,ALBERTI,292,ALBERTI 292,Balvanera,Comuna 3,1082,C1082AAF
-58.4011386931428,-34.6163284208497,ALBERTI,590,ALBERTI 590,Balvanera,Comuna 3,1223,C1223AAB
-58.4016482979954,-34.6107749639832,,86,ALBERTI 86,,,,
-58.4008427377485,-34.6195886738873,ALBERTI,894,ALBERTI 894,San Cristobal,Comuna 3,1223,C1223AAH
-58.5108524226599,-34.6253238236845,ALCARAZ,5327,ALCARAZ 5327,Villa Luro,Comuna 10,1407,C1407GIY
-58.5057781091591,-34.6200992809903,ALLENDE,2177,ALLENDE 2177,Monte Castro,Comuna 10,1407,C1407CQE
-58.5165369839032,-34.6093122395402,ALLENDE,3468,ALLENDE 3468,Villa Devoto,Comuna 11,1417,C1417BMZ
-58.3830195823406,-34.6109311081968,"ALSINA, ADOLFO",1178,"ALSINA, ADOLFO 1178",Monserrat,Comuna 1,1088,C1088AAF
-58.3859991739239,-34.611112678584,"ALSINA, ADOLFO",1390,"ALSINA, ADOLFO 1390",Monserrat,Comuna 1,1088,C1088AAJ
-58.3913872137714,-34.611498312099,"ALSINA, ADOLFO",1778,"ALSINA, ADOLFO 1778",Monserrat,Comuna 1,1088,C1088AAR
-58.3946135860598,-34.6116435358116,"ALSINA, ADOLFO",1995,"ALSINA, ADOLFO 1995",Balvanera,Comuna 3,1090,C1090AAC
-58.396043721765,-34.6118154650331,"ALSINA, ADOLFO",2094,"ALSINA, ADOLFO 2094",Balvanera,Comuna 3,1090,C1090AAF
-58.3970398786854,-34.6118776268248,"ALSINA, ADOLFO",2174,"ALSINA, ADOLFO 2174",Balvanera,Comuna 3,1090,C1090AAH
-58.4001484413382,-34.612033056865,"ALSINA, ADOLFO",2389,"ALSINA, ADOLFO 2389",Balvanera,Comuna 3,1090,C1090AAK
-58.4041686294669,-34.6123767980205,"ALSINA, ADOLFO",2698,"ALSINA, ADOLFO 2698",Balvanera,Comuna 3,1090,C1090AAR
-58.4047606173568,-34.6123360578162,"ALSINA, ADOLFO",2731,"ALSINA, ADOLFO 2731",Balvanera,Comuna 3,1090,C1090AAS
-58.4065616537957,-34.6125165588415,"ALSINA, ADOLFO",2886,"ALSINA, ADOLFO 2886",Balvanera,Comuna 3,1207,C1207AAB
-58.4693803228839,-34.6021647802027,ALVAREZ JONTE,1825,ALVAREZ JONTE 1825,Paternal,Comuna 15,1416,C1416EXD
-58.4694534129084,-34.6022167055884,ALVAREZ JONTE,1833,ALVAREZ JONTE 1833,Paternal,Comuna 15,1416,C1416EXD
-58.4927250743869,-34.6129494276087,ALVAREZ JONTE AV.,3611,ALVAREZ JONTE AV. 3611,Villa Del Parque,Comuna 11,1407,C1407GOD
-58.4959023551701,-34.6145095763727,ALVAREZ JONTE AV.,3933,ALVAREZ JONTE AV. 3933,Monte Castro,Comuna 10,1407,C1407GOG
-58.4971205763401,-34.6151546315748,ALVAREZ JONTE AV.,4015,ALVAREZ JONTE AV. 4015,Monte Castro,Comuna 10,1407,C1407GOH
-58.4982594376399,-34.6157599639957,ALVAREZ JONTE AV.,4121,ALVAREZ JONTE AV. 4121,Monte Castro,Comuna 10,1407,C1407GOI
-58.4993751105862,-34.6163526391722,ALVAREZ JONTE AV.,4221,ALVAREZ JONTE AV. 4221,Monte Castro,Comuna 10,1407,C1407GOJ
-58.5004186341095,-34.6169019635202,ALVAREZ JONTE AV.,4313,ALVAREZ JONTE AV. 4313,Monte Castro,Comuna 10,1407,C1407GOK
-58.5119655299592,-34.6245031551563,ALVAREZ JONTE AV.,5319,ALVAREZ JONTE AV. 5319,Monte Castro,Comuna 10,1407,C1407GPH
-58.5118485368428,-34.6243994791408,ALVAREZ JONTE AV.,5315,ALVAREZ JONTE AV. 5315,Monte Castro,Comuna 10,1407,C1407GPH
-58.5129168154334,-34.6253342313377,ALVAREZ JONTE AV.,5419,ALVAREZ JONTE AV. 5419,Monte Castro,Comuna 10,1407,C1407GPI
-58.462795310241,-34.6070439755145,"ALVAREZ, DONATO, TTE. GRAL.",1735,"ALVAREZ, DONATO, TTE. GRAL. 1735",Villa Gral. Mitre,Comuna 11,1416,C1416BTG
-58.4629391333312,-34.607047329583,"ALVAREZ, DONATO, TTE. GRAL.",1758,"ALVAREZ, DONATO, TTE. GRAL. 1758",Villa Gral. Mitre,Comuna 11,1416,C1416BTT
-58.4648775261788,-34.6031474557061,"ALVAREZ, DONATO, TTE. GRAL. AV.",2088,"ALVAREZ, DONATO, TTE. GRAL. AV. 2088",Villa Gral. Mitre,Comuna 11,1416,C1416BTW
-58.4650611419384,-34.6026109893813,"ALVAREZ, DONATO, TTE. GRAL. AV.",2121,"ALVAREZ, DONATO, TTE. GRAL. AV. 2121",Paternal,Comuna 15,1416,C1416BTK
-58.4205293244031,-34.5901971152539,"ALVAREZ, JULIAN",1892,"ALVAREZ, JULIAN 1892",Palermo,Comuna 14,1414,C1414DSL
-58.4363885960766,-34.6008939098688,"ALVAREZ, JULIAN",385,"ALVAREZ, JULIAN 385",Villa Crespo,Comuna 15,1414,C1414DRG
-58.3858224898243,-34.5969357438085,"ALVEAR, MARCELO T. DE",1305,"ALVEAR, MARCELO T. DE 1305",Retiro,Comuna 1,1058,C1058AAU
-58.3869337370607,-34.5970850841152,"ALVEAR, MARCELO T. DE",1400,"ALVEAR, MARCELO T. DE 1400",Retiro,Comuna 1,1058,C1058AAV
-58.3871734327522,-34.5970212681019,"ALVEAR, MARCELO T. DE",1403,"ALVEAR, MARCELO T. DE 1403",Recoleta,Comuna 2,1060,C1060AAA
-58.3899843650288,-34.597158307372,"ALVEAR, MARCELO T. DE",1611,"ALVEAR, MARCELO T. DE 1611",Recoleta,Comuna 2,1060,C1060AAE
-58.3929427887947,-34.597273086228,"ALVEAR, MARCELO T. DE",1780,"ALVEAR, MARCELO T. DE 1780",Recoleta,Comuna 2,1060,C1060AAH
-58.3934758682506,-34.5971972169509,"ALVEAR, MARCELO T. DE",1807,"ALVEAR, MARCELO T. DE 1807",Recoleta,Comuna 2,1122,C1122AAA
