long;lat;tipo_atencion;dias;horarios;direccion;lugar;barrio;comuna;consultas
-58,496986;-34,668574;MOVIL;2018-08-07;9 a 14:30 hs;Monte y Amancay;Contededor;Mataderos;9;Atenciones clínicas y turnos de castración                                                                       
-58,388311;-34,626081;MOVIL;2018-08-10;8:15 a 14:30 hs ;Pavon y Virrey Cevallos;Plaza Garay;Constitución;1;Atenciones clínicas y turnos de castración
-58,406886;-34,625913;MOVIL;2018-08-10;8:15 a 14:30 hs ;La Rioja y Cochabamba  ;Plaza Martin Fierro;San Cristobal;3;Atenciones clínicas y turnos de castración
-58,474991;-34,645153;MOVIL;2018-08-10;8:15 a 14:30 hs ;Fco. Bilbao y Lacarra  ;Parque Avellaneda;Parque Avellaneda;9;Atenciones clínicas y turnos de castración
-58,492992;-34,605509;MOVIL;2018-08-11;10:30 a 17:30 hs;Cuenca 2500;Plaza Aristobulo del Valle;Villa del Parque;11;Atenciones clínicas y turnos de castración                                                         
-58,419934;-34,592039;MOVIL;2018-08-11;10:30 a 17:30 hs;Costa Rica 3500 ;Plaza Unidad Latinoamericana ;Palermo;14;Atenciones clínicas y turnos de castración                                                         
-58,492992;-34,605509;MOVIL;2018-08-12;10:30 a 17:30 hs;Cuenca 2500;Plaza Aristobulo del Valle ;Villa del Parque;11;Atenciones clínicas y turnos de castración                                                         
-58,419934;-34,592039;MOVIL;2018-08-12;10:30 a 17:30 hs;Costa Rica 3500;Plaza Unidad Latinoamericana ;Palermo;14;Atenciones clínicas y turnos de castración                                                         
-58,397291;-34,588025;MOVIL;2018-08-17;8:15 a 14:30 hs;Av. Las Heras y Av. Pueyrredon    ;Plaza Tte. Gral. Emilio Mitre;Recoleta;2;Atenciones clínicas y turnos de castración
-58,456678;-34,621817;MOVIL;2018-08-17;8:15 a 14:30 hs;Av. Avellaneda y Donato Alvarez;Plaza Angel Gris;Flores;7;Atenciones clínicas y turnos de castración
-58,479826;-34,550748;MOVIL;2018-08-17;8:15 a 14:30 hs;García del Río y Melian;Parque Saavedra;Saavedra;12;Atenciones clínicas y turnos de castración
-58,475098;-34,688271;MOVIL;2018-08-18;10:30 a 17:30 hs ;Av. Fernandez de la Cruz y Guamaní               ;Plaza Sudamericana ;Villa Riachuelo;8;Atenciones clínicas y turnos de castración                                                         
-58,445468;-34,604649;MOVIL;2018-08-18;10:30 a 17:30 hs ;Olaya y Antesana;Plaza Benito Nazar ;Villa Crespo;15;Atenciones clínicas y turnos de castración                                                         
-58,475098;-34,688271;MOVIL;2018-08-19;10:30 a 17:30 hs ;Av. Fernandez de la Cruz y Guamaní;Plaza Sudamericana ;Villa Riachuelo;8;Atenciones clínicas y turnos de castración                                                         
-58,445468;-34,604649;MOVIL;2018-08-19;10:30 a 17:30 hs ;Olaya y Antesana;Plaza Benito Nazar;Villa Crespo;15;Atenciones clínicas y turnos de castración                                                         
-58,369577;-34,626455;MOVIL;2018-08-20;10:30 a 17:30 hs ;Defensa y Brasil;Parque Lezama;San Telmo;1;Atenciones clínicas y desparasitaciones 
-58,407732;-34,625827;MOVIL;2018-08-20;10:30 a 17:30 hs ;La Rioja y Cochabamba;Plaza Martin Fierro;San Cristobal;3;Atenciones clínicas y desparasitaciones 
-58,506506;-34,6554;MOVIL;2018-08-20;10:30 a 17:30 hs ;Av. Juan B. Alberti y Cafayate;Plaza Salaberry;Mataderos;9;Atenciones clínicas y desparasitaciones 
-58,487768;-34,559583;MOVIL;2018-08-20;10:30 a 17:30 hs ;Crisólogo Larralde e/ Machain y Mariano Acha;Plaza Alberdi;Saavedra;12;Atenciones clínicas y desparasitaciones 
