id,nombre,destinatar,direccion,barrio,comuna,telefono,email,web,geometry
229,Cedi Saavedra,Mixto de 45 Días a 3 Años,"Freire, Ramon, Cap. Gral. 4080",Saavedra,Comuna 12,4543-6049,centrosaavedra@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.4778705809904 -34.54956564699744)
230,Cedi Vera Peñaloza,Mixto de 45 Días a 3 Años,Giribone 976,Chacarita,Comuna 15,4551-3315,cedi.vera976@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.45625195539649 -34.58040126375142)
231,Cedi Patricios,Mixto de 45 Días a 3 Años,Almafuerte Av. 66,Parque Patricios,Comuna 4,4911-7526,cedipatricios2020@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.411396910166815 -34.63909758543943)
233,Cedi Chacabuco,Mixto de 45 Días a 3 Años,"Peron, Eva Av. 1502",Parque Chacabuco,Comuna 7,4921-0799,cedichacabuco@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.445015885008814 -34.63333240986813)
234,Cedi Albarellos,Mixto de 45 Días a 3 Años,Albarellos Av. 3153,Villa Pueyrredon,Comuna 12,4571-6836,cedi.albarellos@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.5133255740355 -34.57940049690294)
235,Cedi Ferreyra,Mixto de 45 Días a 3 Años,Diaz Velez Av. 4633,Caballito,Comuna 6,4958-6356,cediandresferreyra@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.43247939172458 -34.60856216876513)
236,"Rayito de Sol S,D y F",Mixto de 45 Días a 10 Años,23 De Junio 4230,Villa Soldati,Comuna 8,15 2376 5733,cedirayitodesol@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.45667390445018 -34.672252792093154)
237,Cedi Pringles,Mixto de 45 Días a 3 Años,Pringles 344,Almagro,Comuna 5,4982-2296,cedipringles@gmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.42792699610256 -34.608071653169056)
238,Cedi Rayito de Sol,Mixto de 45 Días a 3 Años,23 De Junio 4230,Villa Soldati,Comuna 8,15 2376 5733,cedirayitodesol@hotmail.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.45667390445018 -34.672252792093154)
239,Cedi Creciendo,Mixto de 45 Días a 3 Años,"Alcorta, Amancio Av. 1402",Barracas,Comuna 4,4304-9175,CeDICRECIENDO@outlook.com,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/centros-de-desarrollo-infantil-cedis,POINT (-58.383599089239944 -34.63357124908176)
