id,nombre,observacio,direccion,barrio,comuna,telefono,web,geometry
1875,Centro de Día N° 24,,Yrupe 6701,Mataderos,Comuna 9,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.49670400000001 -34.667541000000014)
1877,Centro Cultural Palermo Grande,,Paraguay 5170,Palermo,Comuna 14,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.430724000000005 -34.579713999999996)
1878,Centro de Día Nº 7,,"Alberdi, Juan Bautista Av. 2908",Flores,Comuna 7,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.468749643407314 -34.63345988772265)
1879,Centro de Día Nº 31,,Segurola Av. 2140,Monte Castro,Comuna 10,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.50371517383853 -34.61673558629748)
1880,Centro de Día Nº 10,,2 De Abril De 1982 y Montiel,Villa Lugano,Comuna 8,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.49127213264465 -34.67829801950569)
1882,Centro de Día Nº 20,,Ceretti 3524,Villa Urquiza,Comuna 12,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.50208100000001 -34.56740799999999)
1883,Centro de Día Nº 16,,Guamini 5202,Villa Riachuelo,Comuna 8,11 2169 6695,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.47351899659987 -34.690158304243035)
1886,Centro de Día Nº 27,,"Falcon, Ramon L.,Cnel. 4778",Villa Luro,Comuna 10,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.49442887473684 -34.63812819953642)
1887,Centro de Día Nº 15,,Jufre 346,Villa Crespo,Comuna 15,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.43194316964122 -34.59617826484752)
1888,Centro de Día Nº 3,,"Bonorino, Esteban, Cnel. Av. 897",Flores,Comuna 7,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.454760840303734 -34.63752593072952)
1889,Centro de Día Nº 29,,"Urquiza, Gral. 2247",Parque Patricios,Comuna 4,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.40768286315261 -34.63683207230944)
1890,Centro de Día N° 30,,"Posadas, Alejandro, Dr. 2760",Villa Devoto,Comuna 11,,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-dia,POINT (-58.511817293422524 -34.615238783066665)
