id,nombre,direccion,barrio,comuna,telefono,geometry
4,CIL Barrio Carrillo,"Acosta, Mariano 2400",Flores,Comuna 7,,POINT (-58.457011517863094 -34.65391553122383)
6,CIL Casa del Futuro,"Beiro, Francisco Av. 3900",Villa Devoto,Comuna 11,,POINT (-58.50727869523821 -34.603134246218985)
7,CIL Ciudad Oculta,Piedra Buena Av. 3140,Villa Lugano,Comuna 8,,POINT (-58.49526699221564 -34.670542356174565)
8,CIL Defensoría del Pueblo,Belgrano Av. 673,Monserrat,Comuna 1,,POINT (-58.37571562094104 -34.61263578103782)
11,CIL Nº 3,Moreno 2301,Balvanera,Comuna 3,4375-0642 / 45,POINT (-58.39889526747422 -34.613128459506946)
12,CIL Nº 4,Suarez Av. 2032,Barracas,Comuna 4,4301-6679/6544/6536/4628/3867,POINT (-58.37877868868403 -34.641552899985996)
13,CIL Nº 4 Subsede,Barco Centenera Del 2906,Nueva Pompeya,Comuna 4,4918-1815/8920/2243 4919-9024/9023,POINT (-58.42465445183462 -34.650474998425736)
14,CIL Nº 5,"Calvo, Carlos 3325",Boedo,Comuna 5,4931-6699 / 4932-5471,POINT (-58.41266113358114 -34.62305029506349)
15,CIL Nº 6,Patricias Argentinas Av. 277,Caballito,Comuna 6,,POINT (-58.4327617480918 -34.6060396644162)
16,CIL Nº 7,Rivadavia Av. 7202,Flores,Comuna 7,4637-2355/4145/6902 / 4613-1530,POINT (-58.46700218092438 -34.630154538539955)
17,CIL Nº 8,"Roca, Cnel. Av. 5252",Villa Riachuelo,Comuna 8,4605-1735/2631,POINT (-58.455338657846454 -34.68470805516233)
18,CIL Nº 9,Directorio Av. 4360,Parque Avellaneda,Comuna 9,4671-0804/4636-2022,POINT (-58.48492781320519 -34.64569423768089)
19,CIL Nº 10,Bacacay 3968,Floresta,Comuna 10,4636-2898,POINT (-58.48356773676919 -34.63181400675185)
21,CIL Nº 12,Holmberg 2548,Villa Urquiza,Comuna 12,4348-8912,POINT (-58.4777680465031 -34.568529353384356)
22,CIL Nº 13,Cabildo Av. 3067,Nuñez,Comuna 13,4702-3748/9,POINT (-58.464026426359084 -34.553782835218215)
23,CIL Nº 14,Beruti 3325,Palermo,Comuna 14,4827-5957 / 4827-5954,POINT (-58.40943833944433 -34.58723589148159)
24,CIL Nº 15,Cordoba Av. 5690,Chacarita,Comuna 15,4771-1960 / 4771-0750 / 4772-6398 / 4771-1306,POINT (-58.44125517096068 -34.58698823310083)
25,Oficina Central,"Mitre, Bartolome 575",San Nicolas,Comuna 1,2822-7200 interno: 1200/1215/1214,POINT (-58.37461901855915 -34.606691361433455)
