id,nombre,destinatar,dirreccion,barrio,comuna,telefono,email,web,geometry
206,Cim Alicia Moreau,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Uriburu Jose E., Pres. 1022, Pb",Recoleta,Comuna 2,"4823-1165, interno 104",cim_amoreau@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.398846317044914 -34.59666667631411)
207,Cim Dignxs de Ser,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Lautaro 188,Flores,Comuna 7,2006-4634/1410,cim_dignxsdeser@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.45652314577306 -34.62943239458772)
208,Cim Isabel Calvo,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Humberto 1° 250,San Telmo,Comuna 1,5030-9700 int 181,cim_icalvo@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.369358644177005 -34.62069306375124)
209,Cim Arminda Aberastury,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Yrigoyen, Hipolito 3202",Balvanera,Comuna 3,4956-1768,cimaberastury@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/conoce-tus-derechos/centro-integral-de-la-mujer-arminda-aberastury,POINT (-58.41181644838684 -34.612020132946164)
210,Cim María Elena Walsh,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Malabia 2139, 1er Piso",Palermo,Comuna 14,7507-1570,cim_mariaelenawalsh@buenosaires.gob.ar,,POINT (-58.422095961590465 -34.58757229305645)
211,Cim Trayectoria Por Una Vida Sin Violencia,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Zapiola 4583,Saavedra,Comuna 12,2108-5782,cim_porunavidasinviolencia@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.478951300879814 -34.54442797094721)
212,Cim Pepa Gaitán,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Pichincha Av. 1765,Parque Patricios,Comuna 4,2931-1136,cim_pepagaitan@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.396437415511166 -34.62999964138834)
213,Cim Macacha Güemes,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Vuelta De Obligado 1524,Belgrano,Comuna 13,2124-2414,cim_macachaguemes@buenosaires.gob.ar,,POINT (-58.45054268736505 -34.566152592959035)
214,Cim Alfonsina Storni,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Directorio Av. 4468,Parque Avellaneda,Comuna 9,4568-1245,cim_alfonsinastorni@buenosaires.gob.ar,,POINT (-58.485758769241116 -34.646416878029314)
215,Cim Lugar de Mujer,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Fragata Pres. Sarmiento 889,Caballito,Comuna 6,4431-9325,cim_lugardemujer@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.45315188775047 -34.613825749039925)
216,Cim Maria Gallego,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Beiro, Francisco Av. 5229",Villa Devoto,Comuna 11,4568-1245,cim_mgallego@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.524199713626764 -34.61324002553775)
217,Cim Fenia Chertkoff,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",Bonpland 723,Chacarita,Comuna 15,2052-0913,cim_fenia@buenosaires.gob.ar,,POINT (-58.446294528611894 -34.59062904325275)
218,Cim Minerva Mirabal,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",23 De Junio 4160,Villa Soldati,Comuna 8,4933-9530,cim_vlugano@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.45636476347289 -34.67123407783281)
219,Cim Elvira Rawson,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Salguero, Jeronimo 765",Almagro,Comuna 5,4867-0163,cim_erawson@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.41902173293948 -34.60128692916724)
220,Cim Margarita Malharro,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años",24 De Noviembre 113,Balvanera,Comuna 3,4931-6296,cimmalharro@buenosaires.gob.ar,http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/mujer/hogares-y-centros-integrales-de-la-mujer/centros-integrales-de-la-mujer,POINT (-58.41174192665347 -34.61212220341802)
221,Cim Carolina Muzzilli,"Mujeres en Situación de Violencia de Género, Mayores de 18 Años","Flores, Venancio, Gral. 3929",Floresta,Comuna 10,4672-2537,cim_carolinamuzzilli@buenosaires.gob.ar,,POINT (-58.48274277232065 -34.63270684452999)
