id,nombre,destinatar,requisito,objetivos,direccion,barrio,comuna,web,geometry
936,Solamente Amigos,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.","Gutierrez, Ricardo 4302",Villa Devoto,Comuna 11,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.514278000000004 -34.60288799999999)
940,Los Gurises,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Bolonia 5382,Villa Luro,Comuna 10,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.511817601790966 -34.62541504036409)
980,La Porteña,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Reservistas Argentinos 219,Liniers,Comuna 9,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.521265043596514 -34.63643597279915)
981,Manantial,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Cabello 3958,Palermo,Comuna 14,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.41486459944155 -34.57963253569482)
990,Vengo A Proponerles Un Sueño,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Llavallol 5170,Villa Devoto,Comuna 11,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.512241942120696 -34.58660769338475)
1000,Renacer 2001,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.","De La Torre, Lisandro 5151",Villa Riachuelo,Comuna 8,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.46833849580093 -34.688169222665614)
1012,Enrique Pavon Pereyra,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",California 2587,Barracas,Comuna 4,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.382766936933095 -34.64893005292411)
1029,Dr Ramon Carrillo,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.","Garcia, Juan Agustin 5566",Villa Luro,Comuna 10,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.50959887803176 -34.62988894043302)
1036,Participar,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Guatemala 5090,Palermo,Comuna 14,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.42794268953735 -34.58363886131936)
1041,Abuelos Unidos,Personas mayores de 60 años.,Tener 60 años o más. Inscribirse en la o las actividades elegidas en el Centro de Jubilados al que se concurre.,"La Secretaría de Bienestar integral impulsa en los distintos Centros de Jubilados y Pensionados diversos programas y talleres que favorecen el desarrollo de espacios colectivos de aprendizaje, productivos y placenteros, destinados a los adultos mayores.",Asuncion 4309,Villa Devoto,Comuna 11,https://buenosaires.gob.ar/vicejefatura/bienestar-integral/puntos-de-bienestar/centros-de-jubilados,POINT (-58.514807255167696 -34.60309726855325)
