id,nombre,direccion,barrio,comuna,telefono,web,area_progr,esp,geometry
48,CMB N° 1,Las Palmas 2479,Nueva Pompeya,Comuna 4,4919-7144,,Hospital General de Agudos J. M. Penna,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.42454122186307 -34.6458897336047)
49,CMB N° 2,"Lamarca, Emilio 1022",Villa Santa Rita,Comuna 11,4672-0744,,Hospital General de Agudos Dr. T. Alvarez,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.482986278442795 -34.62215570087757)
51,CMB N° 4,Carabobo Av. 801,Flores,Comuna 7,4632-7525,,Hospital General de Agudos P. Piñero,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.45255481301774 -34.63563406474865)
52,CMB N° 5,Nogoya 4302,Villa Devoto,Comuna 11,4639-5229,,Hospital General de Agudos D. Velez Sarsfield,Clínica Médica - Odontología - Pediatría - Tocoginecología,POINT (-58.50530067318897 -34.61101687358632)
53,CMB N° 6,"Estados Unidos 1936, P.B. A",San Cristobal,Comuna 3,4308-6058,,Hospital General de Agudos J. M. Ramos Mejia,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.39366760870686 -34.61962621656899)
56,CMB N° 9,Albariño 3512,Villa Lugano,Comuna 8,4601-2835,,Hospital General de Agudos P. Piñero,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.471347698508914 -34.66983965157112)
59,CMB N° 12,Paez 2283,Flores,Comuna 7,4631-8254,,Hospital General de Agudos Dr. T. Alvarez,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.465177271323824 -34.619244956357186)
61,CMB N° 17,Miller 3192,Villa Urquiza,Comuna 12,4541-9384,,Hospital General de Agudos Dr. I. Pirovano,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.48639563568377 -34.565207702305536)
63,CMB N° 19,Virgilio 2502,Villa Real,Comuna 10,4880-2550,,Hospital General de Agudos D. Velez Sarsfield,Clínica Médica - Odontología - Pediatría - Tocoginecología,POINT (-58.52226785137576 -34.61804897616455)
64,CMB N° 20,Araujo 1246,Mataderos,Comuna 9,4682-1802,,Hospital General de Agudos Donacion F. Santojanni,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.49435691290763 -34.64933767600909)
65,CMB N° 22,Araoz 2686,Palermo,Comuna 14,4832-0300,,Hospital General de Agudos Dr. J. A. Fernandez,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.41367003497315 -34.58504795062475)
67,CMB N° 24,Brasil 2867,Parque Patricios,Comuna 4,4941-1385,,Hospital General de Agudos J. M. Penna,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.404023829887755 -34.632780705662434)
68,CMB N° 25,Martinez Castro 1475,Parque Avellaneda,Comuna 9,4637-8831,,Hospital General de Agudos P. Piñero,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.46738983417045 -34.64770158010619)
69,CMB N° 26,Guayra 2193,Nuñez,Comuna 13,4701-6467,,Hospital General de Agudos Dr. I. Pirovano,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.463159630133504 -34.551727797659495)
70,CMB N° 27,Antezana 340,Villa Crespo,Comuna 15,4854-8737,,Hospital General de Agudos Dr. C. Durand,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.44482392791581 -34.60518521367833)
71,CMB N° 28,Echeandia 5567,Villa Lugano,Comuna 8,4601-1942,,Hospital General de Agudos P. Piñero,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.484989226767716 -34.6658494471895)
72,CMB N° 29,Saavedra 205,Balvanera,Comuna 3,4951-2443,,Hospital General de Agudos J. M. Ramos Mejia,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.40332892059539 -34.61239666441449)
73,CMB N° 30,Arzobispo Espinosa 1211,Barracas,Comuna 4,4307-8377,,Hospital General de Agudos Dr C. Argerich,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.37052741366963 -34.63350259819728)
76,CMB N° 33,Cramer 4354,Saavedra,Comuna 12,4702-5661,,Hospital General de Agudos Dr. I. Pirovano,Clínica Médica - Pediatría - Tocoginecología,POINT (-58.47664202465116 -34.54478929429387)
