id,nombre,telefono,email,horario,direccion,obs_dir,destinatar,barrio,comuna,geometry
122,Un Cuentito de Verdad,4605-0458,ctesolidaria@hotmail.com,,"Fernandez De La Cruz, F., Gral. Av. 6022",,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.4713978030759 -34.68438974660431)
123,Don Gato,4361-3736,espaciosocial.org@gmail.com - noemipitman@yahoo.com.ar,,Finochietto Enrique Dr. 473,,Mixto de 1 a 3 Años,Barracas,Comuna 4,POINT (-58.37189735860314 -34.627998609247044)
125,Pamperito,4976-0463,millaressilvana@gmail.com,,"Riestra Av. y Torres Y Tenorio, Pres.",Mz.28 C.47,Mixto de 45 Días a 2 Años,Flores,Comuna 7,POINT (-58.43818960747047 -34.64790828324257)
127,El Soñado,11-2345-7565,ismael_gimenez@live.com.ar,,Portela 2500,,Mixto de 45 Días a 3 Años,Villa Soldati,Comuna 8,POINT (-58.451670086228 -34.654981610607436)
128,Casita San Jose,4919-4536,romero.normaedith@gmail.com,,San Pedrito 3061,,Mixto de 45 Días a 2 Años,Villa Soldati,Comuna 8,POINT (-58.43911054220517 -34.66080579425248)
129,Pulgarcito,4302-1897,saludmentalconvivir@gmail.com,,"Cruz, Osvaldo Av. 2101",,Mixto de 45 Días a 3 Años,Barracas,Comuna 4,POINT (-58.376085352908 -34.652354589777495)
130,Mi Casita,4300-3731,espaciosocial.org@gmail.com - noemipitman@yahoo.com.ar,,Chacabuco 1017,,Mixto de 45 Días a 3 Años,San Telmo,Comuna 1,POINT (-58.37601925286507 -34.6199255240272)
131,Pilarcitos,11 4976-9377,Mariana.monsegur@pilares.org.ar - Graciana.gaona@pilares.org.ar,,Rio Cuarto 4584,,Mixto de 1 a 3 Años,Nueva Pompeya,Comuna 4,POINT (-58.412894716346266 -34.65736195576377)
134,Dejando Huellas,4612-2959,dejandohuellasasoccivil@gmail.com,,Yerbal 2789,,Mixto de 45 Días a 3 Años,Flores,Comuna 7,POINT (-58.46866018478648 -34.629002320818685)
135,Crecer Juntos,4867-0075,cpicrecerjuntos@hotmail. com,,Forest Av. 861,1° Piso,Mixto de 45 Días a 3 Años,Chacarita,Comuna 15,POINT (-58.45615995025326 -34.58246624896839)
136,La Mona Jacinta,2007-0671,ivanabogado140@gmail.com,,"Paz, Gral. Av. 13088",,Mixto de 45 Días a 3 Años,Mataderos,Comuna 9,POINT (-58.512771761883094 -34.66549331088906)
138,Lunita,4602-5146,Mariasegurocpi@outlook.com,,"De La Torre, Lisandro 4548",,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.47495330668171 -34.68253796426412)
139,Tiempos de Compartir,2000-0484,Cpi.tiemposdecompartir@gmail.com,,Martinez Castro y Pasaje H,,Mixto de 1 a 3 Años,Villa Soldati,Comuna 8,POINT (-58.45646247201373 -34.65685002066329)
140,Las Chicharritas,4911-7155,comunidadlahormiguita@gmail.com,,Romero 716,,Mixto de 1 a 3 Años,Nueva Pompeya,Comuna 4,POINT (-58.414485460464476 -34.654455315492804)
141,Leandro N. Alem,4305-3496,lau-cep@hotmail.com,,"Calvo, Carlos 1218",,Mixto de 1 a 3 Años,Constitucion,Comuna 1,POINT (-58.38324492234913 -34.619945445370575)
142,Medalla Milagrosa,4941-0750,pmaffei@live.com.ar,,Alberti 1674,,Mixto de 1 a 3 Años,Parque Patricios,Comuna 4,POINT (-58.3994552807065 -34.62937845588947)
143,Estrellita,4918-2734,Mariasegurocpi@outlook.com,,"Batlle Y Ordoñez, Jose P.T. y Acosta, Mariano",Mz.1 C.69,Mixto de 1 a 3 Años,Villa Soldati,Comuna 8,POINT (-58.45147635161408 -34.65930591420962)
144,Conejo Travieso,4687-0075,Laurac.rizzo@hotmail.com,,Saladillo 2449,,Mixto de 1 a 3 Años,Mataderos,Comuna 9,POINT (-58.51126645012199 -34.66572359383321)
145,Apapachando,,dejandohuellasasoccivil@gmail.com,,Carabobo Av. 147,,Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.455824968506995 -34.628787197155624)
147,Arco Iris de Ilusiones,2072-9573,Paulasimonelli@live.com.ar,,Candelaria 148,,Mixto de 1 a 3 Años,Floresta,Comuna 10,POINT (-58.479483340973175 -34.63532215252724)
148,Sueñitos - Amaltea,11 5609-1776,Jardinmaternalsue@outlook.com,,"Herrera, Luis A., De 3460",Barrio 15 (Ciudad Oculta) Manzana: 31,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.48896087078605 -34.672326354136665)
149,Rayuela,2053-1033,asociacioncivilrayuela@gmail.com,,"Jovellanos, Gaspar M. De 1710",,Mixto de 45 Días a 3 Años,Barracas,Comuna 4,POINT (-58.37029364934688 -34.647800363445874)
150,Mis Primeros Pasos,7523-2028,licenciada_otero@hotmail.com,,"Lacroze, Federico Av. 2984",,Mixto de 45 Días a 3 Años,Colegiales,Comuna 13,POINT (-58.44804839886363 -34.57587791950498)
151,Pido Gancho,2073-2936,asociacioncivilrayuela@gmail.com,,"Montes De Oca, Manuel Av. 1667",,Mixto de 1 a 3 Años,Barracas,Comuna 4,POINT (-58.37331738402851 -34.646215015544385)
152,Gestitos,4682-1108,veronowo@gmail.com,,Tapalque 5226,,Mixto de 1 a 3 Años,Mataderos,Comuna 9,POINT (-58.4950867970532 -34.649275106312324)
153,Girasoles,2123-0305,blancanieves.facturas@gmail.com,,"Castro, Emilio Av. 6665",,Mixto de 45 Días a 3 Años,Liniers,Comuna 9,POINT (-58.51419316170057 -34.651183297697074)
154,Pequitas,4641-1094,emmaramirez1938@gmail.com y pimpollitosdevida@hotmail.com,,Esteves Sagui 7,,Mixto de 1 a 3 Años,Liniers,Comuna 9,POINT (-58.5159466921963 -34.63891895525197)
155,Alicia En El Pais de Las Maravillas,4302-0907,lidiacomedores@gmail.com,,Regimiento De Patricios Av. 911,,Mixto de 45 Días a 3 Años,Barracas,Comuna 4,POINT (-58.36976354187068 -34.6382408923643)
156,La Tortuga Manuelita,4601-2193,ivanabogado140@gmail.com,,White 2212,,Mixto de 45 Días a 3 Años,Parque Avellaneda,Comuna 9,POINT (-58.473366919973 -34.65807020858696)
158,Mi Sueño,3973-4011,Cynthiaamen@icloud.com,,Ecuador 439,,Mixto de 1 a 3 Años,Balvanera,Comuna 3,POINT (-58.407855062483826 -34.604970113436245)
160,El Refugio de Los Sueños,4601-7134,Padresyvecinosconsulta@Outlook.com,,Murguiondo 3915,,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.479431393641086 -34.674386338428796)
162,La Hormiguita Viajera,4976-4974,comunidadlahormiguita@gmail.com,,"Torres Y Tenorio, Pres. 2450",,Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.435897414148165 -34.648331456530045)
163,Puentecito Latinoamericano,11-3866103,valerianom2021@gmail.com,,"Chilavert, Martiniano, Coronel 5010",Mz. 28 C. 25 Entrada Por Calle Pola,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.46439478994181 -34.67551757445736)
164,Pequeños Pasos,4307-7171,direccioncpi@pequenospasos.com.ar,,"Valle, Aristobulo Del 271",,Mixto de 45 Días a 3 Años,La Boca,Comuna 4,POINT (-58.358434235341825 -34.63201195240209)
165,San Juan Evangelista,4301-1155 (Intr. 218) / 4302-2194 (Intr. 220),cpi@sanjuanevangelista.edu.ar / cpisje@gmail.com,,"Araoz De Lamadrid, Gregorio, Gral. 447",,Mixto de 45 Días a 2 Años,La Boca,Comuna 4,POINT (-58.35856000000001 -34.63709200000001)
166,Mi Lugar En El Sur,3970-4798,marcelorobles64@gmail.com,,Varela Av. 1420,,Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.453002701043566 -34.64438165139831)
167,Brotecitos,4787-2119,administracion@hogaramparomaternal.com,,"Plaza, Victorino De La, Dr. 1060",,Mixto de 45 Días a 3 Años,Belgrano,Comuna 13,POINT (-58.44821095480188 -34.54864356241248)
168,Raices de Amor,2118-2251,actodoesposible@gmail.com,,Corvalan 1983,,Mixto de 45 Días a 3 Años,Mataderos,Comuna 9,POINT (-58.48733870510784 -34.65628466957518)
169,Pequeños Sueños,,Cpi.tiemposdecompartir@gmail.com,,Lacarra Av. y Pasaje B,F C:572 - Barrio Carrillo,Mixto de 1 a 3 Años,Villa Soldati,Comuna 8,POINT (-58.45882148183744 -34.65730727697144)
170,Pim Pom,,pimpom.c.p.i@gmail.com,,"Iriarte, Gral. Av. 3700",,Mixto de 45 Días a 3 Años,Barracas,Comuna 4,POINT (-58.39893281831763 -34.651216755554735)
171,Floreciendo,15-3241-4331 / 4631-7429,Mariana.monsegur@pilares.org.ar - Graciana.gaona@pilares.org.ar,,"Bonifacio, Jose 2966",,Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.46896190339973 -34.63480848031708)
172,Irqichay,4919-9562,veronowo@gmail.com/ smoran@ges.org.ar,,"Triana, Rodrigo De 3232",,Mixto de 45 Días a 3 Años,Villa Soldati,Comuna 8,POINT (-58.442445522785775 -34.663234940437206)
173,Años Felices Por Siempre,353-44206,cpiafelicesporsiempre@gmail.com,,Sarmiento 2175,,Mixto de 45 Días a 3 Años,Balvanera,Comuna 3,POINT (-58.39762057455506 -34.605818283012155)
175,Donde Brilla El Sol,5254-1754 / 11-4976-3707,blancanieves.facturas@gmail.com,,"Peron, Eva Av. 6600","T3, C 36",Mixto de 45 Días a 3 Años,Villa Lugano,Comuna 8,POINT (-58.49263878941792 -34.66981265271858)
176,Rayito de Esperanza,2058-7727,Paulasimonelli@live.com.ar,,Murguiondo 4469,,Mixto de 1 a 3 Años,Villa Lugano,Comuna 8,POINT (-58.472864898549254 -34.67939284535454)
177,Hakuna Matata,4932-3222,,,Independencia Av. 2950,,Mixto de 1 a 3 Años,San Cristobal,Comuna 3,POINT (-58.40702342685315 -34.619746765229074)
178,Cocomiel,11 5469-3742,coordinacionameghino@gmail.com,,"Moreno, Jose Maria Av. 1940",,Mixto de 1 a 3 Años,Parque Chacabuco,Comuna 7,POINT (-58.43122437313204 -34.64085661070373)
179,Gurises,2083-3633,Cynthiaamen@icloud.com,,Estados Unidos 1649,,Mixto de 1 a 3 Años,Constitucion,Comuna 1,POINT (-58.38961050539957 -34.61874265625565)
180,Caipli,4893-7447,administracion@inclusioncaii.org,,"Alvear, Marcelo T. De 787",,Mixto de 45 Días a 3 Años,Retiro,Comuna 1,POINT (-58.3782239040608 -34.59616756054158)
183,Casitas,4304-7068,veronowo@gmail.com,,Cochabamba 1252,,Mixto de 45 Días a 3 Años,Constitucion,Comuna 1,POINT (-58.383673125168094 -34.62413769480037)
184,San Cayetano,4919-1049,h.silvia.gabriela@hotmail.com,,Plumerillo 3995,,Mixto de 1 a 3 Años,Villa Soldati,Comuna 8,POINT (-58.455909518444464 -34.665411999281275)
185,Chonito,49197061/49197834,cpichonito@gmail.com,,Condor 2875,,Mixto de 1 a 3 Años,Villa Soldati,Comuna 8,POINT (-58.43661579599896 -34.662107732913505)
187,La Lecherita del Sur,4301-4793,blanquitarosario@yahoo.com.ar,,Velez Sarsfield Av. 1668,,Mixto de 1 a 3 Años,Barracas,Comuna 4,POINT (-58.38850650717466 -34.654799917298526)
188,Caipli Sur,2118-0496,administracion@inclusioncaii.org,,Atuel 557,,Mixto de 1 a 3 Años,Parque Patricios,Comuna 4,POINT (-58.407104908155056 -34.64424824632987)
189,Ositos Cariñosos,11 2839 2877,roxi_l_s@hotmail.com,,"Paz, Gral. Av. y Dellepiane, Luis, Tte. Gral.",Mz 3 Casa 40,Mixto de 45 Días a 3 Años,Villa Lugano,Comuna 8,POINT (-58.4873032552928 -34.6836585141216)
190,Los Sueños de Patricia,4588-0821/ 2009-7692,direccioncpi@hotmail.com,,San Martin Av. 3741,,Mixto de 1 a 3 Años,Paternal,Comuna 15,POINT (-58.4748292508869 -34.600198032586405)
191,Alas de Colores,11 6603-6760,lauraruizdiaz@yahoo.com,,Curapaligue 525,,Mixto de 1 a 3 Años,Parque Chacabuco,Comuna 7,POINT (-58.45145902451869 -34.63099565323749)
192,Madre del Pueblo,,tichaadaro@gmail.com,,"Moreno, Perito Av. y Fernandez De La Cruz, F., Gral. Av.","Mz:3 C: 1, Barrio Padre Ricciardelli (Ex 1-11-14)",Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.433749000000006 -34.649760000000015)
194,Los Bajitos de Jd,11 3802-7974,Asociacionemmanuel@hotmail.com - jovenesdeportistas1994@gmail.com,,Soldado De La Frontera Av. 5230,,Mixto de 45 Días a 3 Años,Villa Lugano,Comuna 8,POINT (-58.46337502456676 -34.68531811838916)
195,Thiago Andres,4919-1049,h.silvia.gabriela@hotmail.com,,"Janer, Ana Maria 3900",,Mixto de 45 Días a 3 Años,Villa Soldati,Comuna 8,POINT (-58.45631128420805 -34.66485118680613)
196,Pimpollitos de Vida,6380-5324/4611-7193,emmaramirez1938@gmail.com y pimpollitosdevida@hotmail.com,,Quirno 538,,Mixto de 1 a 3 Años,Flores,Comuna 7,POINT (-58.46813556323871 -34.63745047514309)
