id,long,lat,nombre,calle,altura,piso_depto,telefonos,web,e_mail,barrio,comuna,codigo_pos,codigo_p_1,geometry
23,-58.381518701104824,-34.59203571013211,Brasil,"PELLEGRINI, CARLOS",1363,Piso 5º P,4515-6500,http://www.conbrasil.org.ar/,"diversos@conbrasil.org.ar,",Retiro,Comuna 1,,,POINT (-58.381518701104824 -34.59203571013211)
33,-58.37808065182325,-34.59514454014913,Colombia,SANTA FE AV.,782,Piso 1°,"4312-5446, 4312-5538",http://www.embajadacolombia.int.ar,"consulado@embajadacolombia.int.ar,",Retiro,Comuna 1,,,POINT (-58.37808065182325 -34.59514454014913)
71,-58.36395622372794,-34.60646319872259,Holanda,"COSSETTINI, OLGA",831,Edif.Porteño Plaza II-Piso 3,4338-0050,http://www.embajadaholanda.int.ar/,"bue@minbuza.nl,",Puerto Madero,Comuna 1,,,POINT (-58.36395622372794 -34.60646319872259)
105,-58.37803292146882,-34.60003291715952,Malta,VIAMONTE,783,,"4322-1798, 4322-6983, 4325-0778, 4325-0756",,,San Nicolas,Comuna 1,,,POINT (-58.37803292146882 -34.60003291715952)
77,-58.380689215496034,-34.59908895079636,India,CORDOBA AV.,950,Piso 4,"4393-4001, 4393-4156",http://www.indembarg.org.ar/indembarg,"polsec@indembarg.org.ar,",San Nicolas,Comuna 1,,,POINT (-58.380689215496034 -34.59908895079636)
138,-58.380971528950724,-34.59157622631715,Rumania,ARROYO,962,,4326-5888,,,Retiro,Comuna 1,,,POINT (-58.380971528950724 -34.59157622631715)
42,-58.38737650756551,-34.60290815628322,Dinamarca,LAVALLE,1454,7° A,4371-2916,,"jfi@ambadane.org.ar,",San Nicolas,Comuna 1,,,POINT (-58.38737650756551 -34.60290815628322)
87,-58.37666725281273,-34.60864227585353,Israel,DE MAYO AV.,701,Piso 10,4338-2515,http://www.israel-embassy.org.ar/,"consulado@buenosaires.mfa.gov.il,",Monserrat,Comuna 1,,,POINT (-58.37666725281273 -34.60864227585353)
88,-58.38325872055239,-34.59679809278671,Italia,"ALVEAR, MARCELO T. DE",1149,,"4816-6132, 4816-6133, 4816-6134, 4816-6135",http://www.consitalia-bsas.org.ar,"segretaria.baires@italia.org.ar,",Retiro,Comuna 1,,,POINT (-58.38325872055239 -34.59679809278671)
126,-58.38783709151482,-34.60890783381631,Perú,RIVADAVIA AV.,1501,,"4334-0970, 4334-0971, 4334-0973, 4334-0974",http://www.consuladoperubaires.org,"conperbaires@ciudad.com.ar,",San Nicolas,Comuna 1,,,POINT (-58.38783709151482 -34.60890783381631)
153,-58.37517299882115,-34.596275449226596,Sudáfrica,"ALVEAR, MARCELO T. DE",590,Piso 8º,"4317-2900, 4317-2963",http://www.sudafrica.org.ar/,"saembarg.dha@redynet.com.ar,",Retiro,Comuna 1,,,POINT (-58.37517299882115 -34.596275449226596)
129,-58.37697060304897,-34.5970153418631,Portugal,MAIPU,942,Piso 17º,4312-3524,,"seconsular@buenosaires.dgaccp.pt, seconsular_bs.as@ciudad.com.ar",Retiro,Comuna 1,,,POINT (-58.37697060304897 -34.5970153418631)
8,-58.38504740611508,-34.58895028974182,Argelia,MONTEVIDEO,1889,,"4815-1271, 4815-5969",,"argelia@interserver.com.ar,",Retiro,Comuna 1,,,POINT (-58.38504740611508 -34.58895028974182)
16,-58.38567741823482,-34.599154093404394,Barbados,CORDOBA AV.,1309,Piso 8 - Dto. A,4811-4108,,"info@itzcovichgriot.com.ar,",Retiro,Comuna 1,,,POINT (-58.38567741823482 -34.599154093404394)
18,-58.372154482046945,-34.609219778696335,Bélgica,DEFENSA,113,Piso 8º,"4331-0066, 4331-0069, 4331-0814,",,"buenosaires@diplobel.org,",Monserrat,Comuna 1,,,POINT (-58.372154482046945 -34.609219778696335)
52,-58.37925107885517,-34.59532529019338,Eslovenia,SANTA FE AV.,846,Piso 6º,"4894-0621, 4312-8418",,"vba@mzz-dkp.gov.si,",Retiro,Comuna 1,,,POINT (-58.37925107885517 -34.59532529019338)
66,-58.37896075311659,-34.595306562830636,Guatemala,SANTA FE AV.,830,Piso 5º,"4313-9160, 4313-9180",,"inguatar@xlnet.com.ar,",Retiro,Comuna 1,,,POINT (-58.37896075311659 -34.595306562830636)
84,-58.38016694756655,-34.59170064400931,Irlanda,SUIPACHA,1380,Piso 2,5787-0801,,"info@irlanda.org.ar,",Retiro,Comuna 1,,,POINT (-58.38016694756655 -34.59170064400931)
142,-58.3748911131332,-34.60105132324316,Samoa Occidental,TUCUMAN,540,Piso 10º Suite H,4325-9649,,"consuladogeneralsamoa@fibertel.com.ar,",San Nicolas,Comuna 1,,,POINT (-58.3748911131332 -34.60105132324316)
163,-58.37811545323787,-34.591433198509996,Uganda,ESMERALDA,1394,"2do ""A""",15-4404-4656,,"ugandaconsulbue@yahoo.com,",Retiro,Comuna 1,,,POINT (-58.37811545323787 -34.591433198509996)
10,-58.37464542476261,-34.60749500664863,Armenia,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",570,Piso 3º,"4345-1882, 4345-2037, 4345-2051,",,,San Nicolas,Comuna 1,,,POINT (-58.37464542476261 -34.60749500664863)
26,-58.38058496687309,-34.61004888933024,Cabo verde,"IRIGOYEN, BERNARDO DE",146,Piso 1° Of. C,4334-0524,,,Monserrat,Comuna 1,,,POINT (-58.38058496687309 -34.61004888933024)
30,-58.374173554926074,-34.60752386908401,Chile,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV.",547,P. 2º,"4331-6228, 4331-6229, 4331-6230,",,,San Nicolas,Comuna 1,,,POINT (-58.374173554926074 -34.60752386908401)
47,-58.37960062010481,-34.59527679568649,El Salvador,SANTA FE AV.,882,"Piso 13 ""A""",4311-1864,,,Retiro,Comuna 1,,,POINT (-58.37960062010481 -34.59527679568649)
61,-58.379244455047896,-34.59540821652954,Francia,SANTA FE AV.,846,Pisos 3º y 4º,4312-2409,,,Retiro,Comuna 1,,,POINT (-58.379244455047896 -34.59540821652954)
90,-58.369139193521725,-34.601469613342914,Japón,BOUCHARD,547,Piso 17,4318-8200,,,San Nicolas,Comuna 1,,,POINT (-58.369139193521725 -34.601469613342914)
92,-58.37390610946724,-34.601687547819516,Jordania,SAN MARTIN,543,"Piso 1 ""15""",4390-0416,,,San Nicolas,Comuna 1,,,POINT (-58.37390610946724 -34.601687547819516)
96,-58.38137185775315,-34.595936062151296,Liberia,"PELLEGRINI, CARLOS",1063,"Piso 2º ""A""","4326-1892, 4326-3807",,,Retiro,Comuna 1,,,POINT (-58.38137185775315 -34.595936062151296)
101,-58.37488202203699,-34.60785928956879,Lituania,FLORIDA,15,Piso 4,4331-1525,,,San Nicolas,Comuna 1,,,POINT (-58.37488202203699 -34.60785928956879)
