long,lat,id,nombre,domicilio,piso_depto,calle,altura,telefonos,web,e_mail,barrio,comuna,codigo_pos,codigo_p_1,geometry
-58.38504740611508,-34.58895028974182,7,Argelia,Montevideo1889,,MONTEVIDEO,1889,"4815-1271, 4815-5969",http://www.mae-dz.org,argeliae@interserver.com.ar,Retiro,Comuna 1,,,POINT (-58.38504740611508 -34.58895028974182)
-58.372154482046945,-34.609219778696335,17,Bélgica,Defensa113,Piso 8°,DEFENSA,113,"4331-0066, 4331-0067, 4331-0068, 4331-0069",http://www.diplobel.org/argentina/default.htm,buenosaires@diplobel.org,Monserrat,Comuna 1,,,POINT (-58.372154482046945 -34.609219778696335)
-58.382937723246826,-34.591973819210715,22,Brasil,Cerrito1350,,CERRITO,1350,4515-2400,http://www.brasil.org.ar,"info@embrasil.org.ar, secom@embrasil.org.ar, turismo@embrasil.org.ar, cultural@embrasil.org.ar",Retiro,Comuna 1,,,POINT (-58.382937723246826 -34.591973819210715)
-58.374446750668604,-34.60318587981944,21,Bolivia,Corrientes Av.545,Piso 2° 6,CORRIENTES AV.,545,4394-1463,http://www.embajadadebolivia.com.ar,embolivia-baires@ree.gov.bo,San Nicolas,Comuna 1,,,POINT (-58.374446750668604 -34.60318587981944)
-58.37042746361923,-34.596362480526444,78,India,"Madero, Eduardo Av.942",,"MADERO, EDUARDO AV.",942,"4393-4001, 4393-4156",,indem@indembarg.org.ar,Retiro,Comuna 1,,,POINT (-58.37042746361923 -34.596362480526444)
-58.381518701104824,-34.59203571013211,34,Colombia,"Pellegrini, Carlos1363",Piso 3º,"PELLEGRINI, CARLOS",1363,"4325-0258, 4325-0494, 4325-1106, 4322-1610",http://www.embajadacolombia.int.ar,emargent@embajadacolombia.int.ar,Retiro,Comuna 1,,,POINT (-58.381518701104824 -34.59203571013211)
-58.37276159318593,-34.595215864435815,41,Dinamarca,"Alem, Leandro N. Av.1074",Piso 9,"ALEM, LEANDRO N. AV.",1074,4312-6901,http://www.buenosaires.um.dk,bueamb@um.dk,Retiro,Comuna 1,,,POINT (-58.37276159318593 -34.595215864435815)
-58.38016694756655,-34.59170064400931,48,El Salvador,Suipacha1380,,SUIPACHA,1380,"4325-0849, 4325-8588, 4326-4190,",http://www.embajadaelsalvador.com.ar,elsalvador@fibertel.com.ar,Retiro,Comuna 1,,,POINT (-58.38016694756655 -34.59170064400931)
-58.37920756059099,-34.5952423293121,59,Finlandia,Santa Fe Av.846,Piso 5º,SANTA FE AV.,846,4312-0600,http://www.finlandia.org.ar,sanomat.bue@formin.fi,Retiro,Comuna 1,,,POINT (-58.37920756059099 -34.5952423293121)
-58.3828403285,-34.59178674607875,60,Francia,Cerrito1399,(Cancillería),CERRITO,1399,4515-2930,http://www.embafrancia-argentina.org,ambafr@abaconet.com.ar,Retiro,Comuna 1,,,POINT (-58.3828403285 -34.59178674607875)
-58.36388845288954,-34.606981661054334,72,Holanda,"Cossettini, Olga831",Edif.Porteño II-Pisos 3º y 4º,"COSSETTINI, OLGA",831,4338-0050,http://www.embajadaholanda.int.ar/,bue@minbuza.nl,Puerto Madero,Comuna 1,,,POINT (-58.36388845288954 -34.606981661054334)
-58.37666725281273,-34.60864227585353,86,Israel,De Mayo Av.701,Piso 10º,DE MAYO AV.,701,4338-2500,http://israel-embassy.org.ar/,info@buenosaires.mfa.gov.il,Monserrat,Comuna 1,,,POINT (-58.37666725281273 -34.60864227585353)
-58.369139193521725,-34.601469613342914,91,Japón,Bouchard547,Piso 17,BOUCHARD,547,4318-8200,http://www.ar.emb-japan.go.jp/,taishikan@japan.org.ar,San Nicolas,Comuna 1,,,POINT (-58.369139193521725 -34.601469613342914)
-58.38666866517042,-34.60012127883219,93,Kuwait,Uruguay Av.739,,URUGUAY AV.,739,"4374-7202, 4374-7204, 4374-8724,",http://www.embajadadekuwait.com.ar,info@embajadadekuwait.com.ar,San Nicolas,Comuna 1,,,POINT (-58.38666866517042 -34.60012127883219)
-58.37824641505686,-34.60021033664737,104,Malta,Esmeralda684,Piso 7,ESMERALDA,684,"4516-0034, 4516-0035",http://www.embamalta.org.ar/,maltaconsul@buenosaires.gov.mt,San Nicolas,Comuna 1,,,POINT (-58.37824641505686 -34.60021033664737)
-58.38148357267333,-34.591321625851386,115,Noruega,"Pellegrini, Carlos1427",Piso 2,"PELLEGRINI, CARLOS",1427,4328-8717,http://www.noruega.org.ar/,emb.buenosaires@mfa.no,Retiro,Comuna 1,,,POINT (-58.38148357267333 -34.591321625851386)
-58.3814814951909,-34.59121705933977,117,Nueva Zelandia,"Pellegrini, Carlos1427",Piso 5º,"PELLEGRINI, CARLOS",1427,4328-0747,http://www.nzembassy.com/buenosaires,kiwiargentina@datamarkets.com.ar,Retiro,Comuna 1,,,POINT (-58.3814814951909 -34.59121705933977)
