estado_est;estado_est_desc;sector;sector_desc;cue;anexo;cueanexo;cui;estado_loc;estado_loc_desc;email;nombre_est;nombre_loc;barrio;calle;num;point_x;point_y;de;comuna;mingob;d_mingob;depfun;d_depfun;tipest;d_tipest;Oferta_CABA;Oferta_CABA_cod
1;activo;2;Privada;200001;00;20000100;201255;1;activo;NIVELMEDIOWILLIAMCMORRIS@HOTMAIL.COM /   WILLIAMCMORRIS503@GMAIL.COM;ESCUELA EVANGELICA WILLIAM C. MORRIS;"INSTITUTO PRIVADO ESCUELA EVANGELICA ""WILLIAM C. MORRIS""";BOCA;SUÁREZ;684;109249,8978;99064,44461;04;04;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel secundario común;SecCom
1;activo;2;Privada;200001;02;20000102;202846;1;activo;WILLIAMCMORRIS503@GMAIL.COM;ESCUELA EVANGELICA WILLIAM C. MORRIS;"INSTITUTO PRIVADO ESCUELA EVANGELICA ""WILLIAM C. MORRIS""";BOCA;OLAVARRIA;677;109220,6486;99122,24166;04;04;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común;MatCom - JardCom - PriCom
1;activo;1;Estatal;200002;00;20000200;200174;1;activo;dep_epc2_de4@bue.edu.ar;CARLOS R. VIGNALE;CARLOS R. VIGNALE;BOCA;WENCESLAO VILLAFAÑE;453;109314,9214;99661,42831;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;2;Privada;200003;00;20000300;201514;1;activo;SANCAYETANOPRIMARIA@GMAIL.COM;INSTITUTO SAN CAYETANO;INSTITUTO SAN CAYETANO;BELGRANO;VIDAL;1743;100538,8065;106878,3699;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes;MatCom - JardCom
1;activo;2;Privada;200003;01;20000301;202849;1;activo;SANCAYETANOPRIMARIA@GMAIL.COM;INSTITUTO SAN CAYETANO;INSTITUTO SAN CAYETANO;BELGRANO;MOLDES;1764;100538,8065;106877,6202;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel primario común;PriCom
1;activo;2;Privada;200005;00;20000500;201491;1;activo;PRIMARIANSROSARIO@GMAIL.COM/SECUNDARIANSROSARIO@GMAIL.COM;INSTITUTO NUESTRA SEÑORA DEL ROSARIO;INSTITUTO NUESTRA SEÑORA DEL ROSARIO;BELGRANO;CIUDAD DE LA PAZ;1839;100719,4301;107127,6199;10;13;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común, Nivel secundario común;MatCom - JardCom - PriCom - SecCom
1;activo;2;Privada;200007;00;20000700;201754;1;activo;SECRETARIANIVELPRIMARIO@LUJANDELOSPATRIOTAS.EDU.AR;INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS;INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS;MATADEROS;AVDA. EMILIO CASTRO;7142;94941,1062;97303,12861;20;09;1;Ministerio de Educación;90;Dirección General de Educación de Gestión Privada;9091;Institutos Educativos Incorporados a la Enseñanza Oficial;Nivel inicial común - Jardín maternal, Nivel inicial común - Jardín de infantes, Nivel primario común, Nivel secundario común;MatCom - JardCom - PriCom - SecCom
1;activo;1;Estatal;200008;00;20000800;200913;1;activo;dep_epc16_de20@bue.edu.ar;DR MARTINIANO LEGUIZAMON;DR MARTINIANO LEGUIZAMON;MATADEROS;MARTINIANO LEGUIZAMON;1470;95872,133;97433,04351;20;09;1;Ministerio de Educación;20;Dirección de Educación Primaria;2022;Escuelas de Jornada Completa;Nivel primario común;PriCom
1;activo;1;Estatal;200009;00;20000900;200178;1;activo;dep_epc9_de4@bue.edu.ar;BENITO QUINQUELA MARTIN;BENITO QUINQUELA MARTIN;BOCA;AVDA. DON PEDRO DE MENDOZA;1835;109377,8887;98915,44261;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
1;activo;1;Estatal;200010;00;20001000;200176;1;activo;dep_epc4_de4@bue.edu.ar;JOSE JACINTO BERRUTTI;JOSE JACINTO BERRUTTI;BOCA;BENITO QUINQUELA MARTIN;1081;108965,8824;98542,46841;04;04;1;Ministerio de Educación;20;Dirección de Educación Primaria;2021;Escuelas de Jornada Simple;Nivel primario común;PriCom
