long,lat,id,calle,altura,cantidad,tipo,p_exclusiv,pisos
-58.3786118099939,-34.6047300150406,23,SARMIENTO,843,137,CIELO ABIERTO,SI,1
-58.3773428213325,-34.6046469055068,22,SARMIENTO,753,50,BAJO TECHO,NO,5
-58.374206408873,-34.6044393850318,21,SARMIENTO,529,59,BAJO TECHO,SI,5
-58.37396255734,-34.6023978418581,20,SAN MARTIN,478,77,BAJO TECHO,NO,12
-58.3760805181924,-34.6023228547235,9,LAVALLE,658,65,BAJO TECHO,NO,13
-58.3723107661144,-34.6019682862459,8,LAVALLE,385,50,BAJO TECHO,NO,7
-58.3779623272904,-34.6065871442114,1,ESMERALDA,142,30,BAJO TECHO,SI,2
-58.3780957305365,-34.6043959290305,2,ESMERALDA,328,50,CIELO ABIERTO,SI,1
-58.3780193847904,-34.6031996284358,3,ESMERALDA,425,100,BAJO TECHO,SI,3
-58.3781213745195,-34.6010089068194,4,ESMERALDA,617,83,BAJO TECHO,NO,9
-58.3781268891258,-34.6007676324856,5,ESMERALDA,639,41,BAJO TECHO,NO,3
-58.378131902376,-34.6005482921438,6,ESMERALDA,659,23,CIELO ABIERTO,SI,1
-58.3781324036996,-34.600526358101,7,ESMERALDA,661,36,CIELO ABIERTO,SI,1
-58.3763576780588,-34.6077961203728,10,MAIPU,27,138,BAJO TECHO,NO,24
-58.376577834793,-34.6037511183387,11,MAIPU,373,300,BAJO TECHO,SI,6
-58.3768458564586,-34.6005322943971,12,MAIPU,652,40,BAJO TECHO,NO,2
-58.3758277711389,-34.605834435669,13,"PERON, TTE. GRAL., JUAN DOMINGO",652,98,BAJO TECHO,NO,3
-58.3799787317872,-34.6059872776398,14,"PERON, TTE. GRAL., JUAN DOMINGO",949,310,BAJO TECHO,NO,16
-58.3751694251563,-34.6079899965768,15,RIVADAVIA,611,180,BAJO TECHO,SI,4
-58.375441363758,-34.6080080820253,16,RIVADAVIA,631,172,BAJO TECHO,SI,5
-58.3761105543033,-34.6081628431644,17,RIVADAVIA,682,40,CIELO ABIERTO,SI,1
-58.3770183025807,-34.6081075197577,18,RIVADAVIA,743,120,BAJO TECHO,SI,4
-58.3800161163296,-34.6082870904163,19,RIVADAVIA,953,268,BAJO TECHO,NO,7
-58.3793732152915,-34.6064628850288,24,SUIPACHA,162,67,CIELO ABIERTO,SI,1
-58.3793585835453,-34.6042882160732,25,SUIPACHA,343,7,CIELO ABIERTO,SI,1
-58.3795053374705,-34.601808043683,26,SUIPACHA,555,62,CIELO ABIERTO,SI,1
-58.3796433116902,-34.5995372065814,27,SUIPACHA,751,49,BAJO TECHO,NO,2
-58.3718260686886,-34.6007341306429,28,TUCUMAN,341,50,CIELO ABIERTO,SI,1
-58.3720541864947,-34.6007534473894,29,TUCUMAN,359,40,BAJO TECHO,SI,9
-58.3789260646728,-34.6013062192922,30,TUCUMAN,854,47,CIELO ABIERTO,SI,1
-58.3803613794167,-34.6013744037829,31,TUCUMAN,952,79,BAJO TECHO,NO,5
-58.3716590318778,-34.5995381009899,32,VIAMONTE,319,40,CIELO ABIERTO,SI,1
-58.3762878165594,-34.5999780105429,33,VIAMONTE,666,29,BAJO TECHO,SI,2
-58.3764255462084,-34.5999854444178,34,VIAMONTE,676,67,BAJO TECHO,NO,4
-58.3773927798535,-34.5999524352674,35,VIAMONTE,741,52,BAJO TECHO,SI,5
