long,lat,id,calle,entre_calle,y_calle,ubicacion,area,gestion,dom_norma,barrio,comuna
-58.3817869571431,-34.6071781903624,1,9 de Julio  (Cerrito),"Mitre, B.","Perón, J. D., Tte. Gral.",Vereda,Microcentro,Estacionamiento Público,"CERRITO y MITRE, BARTOLOME",San Nicolas,Comuna 1
-58.3816320003239,-34.6112755027191,2,9 de Julio  (Lima),"Alsina, A.",Moreno,Vereda,Microcentro,Estacionamiento Público,"LIMA y ALSINA, ADOLFO",Monserrat,Comuna 1
-58.3808889249542,-34.6074839092608,3,"9 de Julio  (Pellegrini, C.)",Rivadavia,Bartolomé Mitre,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y RIVADAVIA AV.",San Nicolas,Comuna 1
-58.3809295532701,-34.6070697123025,4,"9 de Julio  (Pellegrini, C.)",Bartolomé Mitre,"Perón, J. D., Tte. Gral.",Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y MITRE, BARTOLOME",San Nicolas,Comuna 1
-58.3808633536407,-34.6032632936847,5,"9 de Julio  (Pellegrini, C.)","Corrientes, Av.",Lavalle,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y CORRIENTES AV.",San Nicolas,Comuna 1
-58.3812338606034,-34.6020051608405,6,"9 de Julio  (Pellegrini, C.)",Lavalle,Tucumán,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y LAVALLE",San Nicolas,Comuna 1
-58.381300862122,-34.6008732794839,7,"9 de Julio  (Pellegrini, C.)",Tucumán,Viamonte,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y TUCUMAN",San Nicolas,Comuna 1
-58.3813822133444,-34.6003243340834,8,"9 de Julio  (Pellegrini, C.)",Viamonte,"Córdoba, Av.",Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y VIAMONTE",San Nicolas,Comuna 1
-58.3809992857706,-34.6058087702545,9,"9 de Julio  (Pellegrini, C.)","Perón, J. D., Tte. Gral.",Sarmiento,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,Comuna 1
-58.3808529979424,-34.6081484532956,10,"9 de Julio  (Pellegrini, C.)",Rivadavia,Bartolomé Mitre,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y RIVADAVIA AV.",San Nicolas,Comuna 1
-58.3806459865753,-34.6085545549211,11,"9 de Julio  (Pellegrini, C.)",Rivadavia,Av. De Mayo,Vereda,Microcentro,Estacionamiento Público,"PELLEGRINI, CARLOS y RIVADAVIA AV.",Monserrat,Comuna 1
-58.3807158234067,-34.6123532720308,12,"9 de Julio (Irigoyen, B. de)",Moreno,"Belgrano, Av.",Vereda,Microcentro,Estacionamiento Público,"IRIGOYEN, BERNARDO DE y Y MORENO",Monserrat,Comuna 1
-58.3802696936662,-34.6058950611189,13,"Carabelas, Pje.","Perón, J. D., Tte. Gral.",Sarmiento,Vereda,Microcentro,Estacionamiento Público,"CARABELAS y PERON, JUAN DOMINGO, TTE. GENERAL",San Nicolas,Comuna 1
-58.3802709506719,-34.6048054241906,14,"Carabelas, Pje.",Sarmiento,"Sáenz Peña, R., Pres., Av.",Vereda,Microcentro,Estacionamiento Público,CARABELAS y SARMIENTO,San Nicolas,Comuna 1
-58.3843776140411,-34.6039602373846,15,"Corrientes, Av.",Libertad,Talcahuano,Vereda,Microcentro,Estacionamiento Público,CORRIENTES AV. y LIBERTAD,San Nicolas,Comuna 1
-58.3859920816926,-34.6040539130454,16,"Corrientes, Av.",Talcahuano,Uruguay,Vereda,Microcentro,Estacionamiento Público,CORRIENTES AV. y TALCAHUANO,San Nicolas,Comuna 1
-58.3900938507048,-34.6043719331482,17,"Corrientes, Av.",Montevideo,Rodríguez Peña,Vereda,Microcentro,Estacionamiento Público,CORRIENTES AV. y MONTEVIDEO,San Nicolas,Comuna 1
-58.391800703874,-34.6045169628679,18,"Corrientes, Av.",Rodríguez Peña,"Callao, Av.",Vereda,Microcentro,Estacionamiento Público,CORRIENTES AV. y RODRIGUEZ PEÑA,San Nicolas,Comuna 1
-58.3783286620508,-34.6055927867977,19,"Sáenz Peña, R., Pres., Av.",Esmeralda,Suipacha,Vereda,Microcentro,Estacionamiento Público,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. y ESMERALDA",San Nicolas,Comuna 1
-58.3798691021398,-34.6045292713857,20,"Sáenz Peña, R., Pres., Av.",Suipacha,"Pellegrini, Carlos",Vereda,Microcentro,Estacionamiento Público,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. y SUIPACHA",San Nicolas,Comuna 1
