id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
1,1,3 de Febrero,"Mitre , F.C.G.B.M.",Retiro - Mitre / Jose L Suarez,Palermo,Comuna 14,,,POINT (-58.42521590019884 -34.57187557452701)
2,2,Antonio Devoto,"Urquiza , F.C.G.U.",Lacroze- Gral. Lemos,Villa Devoto,Comuna 11,,,POINT (-58.510564999657916 -34.59560497644177)
3,3,Belgrano C,"Mitre , F.C.G.B.M.",Retiro - Tigre,Belgrano,Comuna 13,,,POINT (-58.44925061822621 -34.558602977874344)
4,4,Belgrano R,"Mitre , F.C.G.B.M.",Retiro - Mitre / Jose L Suarez,Belgrano,Comuna 13,,,POINT (-58.4624500939876 -34.567788741212325)
5,5,Buenos Aires,"Belgrano Sur , F.C.G.B.",Buenos Aires - Marinos del Belgrano,Barracas,Comuna 4,,,POINT (-58.393869395876266 -34.64535028060146)
6,6,Caballito,"Sarmiento , F.C.D.F.S.",Once-Moreno,Caballito,Comuna 6,,,POINT (-58.44391005839142 -34.619281313431756)
7,7,Ciudad Universitaria,"Belgrano Norte , F.C.G.B.",Retiro - Villa Rosa,Belgrano,Comuna 13,,,POINT (-58.44656939484064 -34.543733488263484)
8,8,Coghlan,"Mitre , F.C.G.B.M.",Retiro - Bartolome Mitre,Coghlan,Comuna 12,,,POINT (-58.47515490923982 -34.565359590919655)
9,9,Colegiales,"Mitre , F.C.G.B.M.",Retiro - Mitre / Jose L Suarez,Colegiales,Comuna 13,,,POINT (-58.44819199016154 -34.573024284005584)
10,10,Constitución,"Roca , F.C.G.R.",Constitucion-La Plata,Constitucion,Comuna 1,,,POINT (-58.380674080061155 -34.62885203837414)
11,11,Devoto,"San Martin , F.C.G.S.M.",Retiro - Pilar,Villa Devoto,Comuna 11,,,POINT (-58.51265664366834 -34.60267485983368)
12,12,Dr. Antonio Sáenz,"Belgrano Sur , F.C.G.B.",Buenos Aires - Marinos del Belgrano,Nueva Pompeya,Comuna 4,,,POINT (-58.415227168818284 -34.64910993910678)
13,13,Dr. Francisco Beiró,"Urquiza , F.C.G.U.",Lacroze- Gral. Lemos,Agronomia,Comuna 15,,,POINT (-58.494308525678505 -34.5931694373394)
14,14,Dr. Lisandro de la Torre,"Mitre , F.C.G.B.M.",Retiro - Tigre,Belgrano,Comuna 13,,,POINT (-58.43674464755534 -34.56253886667018)
15,15,El Libertador,"Urquiza , F.C.G.U.",Lacroze- Gral. Lemos,Agronomia,Comuna 15,,,POINT (-58.50302102566902 -34.59447796490903)
16,16,Estación Once,"Sarmiento , F.C.D.F.S.",Once-Moreno,Balvanera,Comuna 3,,,POINT (-58.40782723380976 -34.60862987687631)
17,17,Federico Lacroze,"Urquiza , F.C.G.U.",Lacroze- Gral. Lemos,Chacarita,Comuna 15,,,POINT (-58.45578378385564 -34.58687555104254)
18,18,Flores,"Sarmiento , F.C.D.F.S.",Once-Moreno,Flores,Comuna 7,,,POINT (-58.466247515727055 -34.62789656331278)
19,19,Floresta,"Sarmiento , F.C.D.F.S.",Once-Moreno,Floresta,Comuna 10,,,POINT (-58.48088088669235 -34.63238431096948)
20,20,General Urquiza,"Mitre , F.C.G.B.M.",Retiro - Jose Leon Suarez,Villa Urquiza,Comuna 12,,,POINT (-58.48784952191221 -34.57473250187778)
21,21,Hipólito Yrigoyen,"Roca , F.C.G.R.",Constitucion-La Plata,Barracas,Comuna 4,,,POINT (-58.37888733823568 -34.653595620660866)
22,22,José Artigas,"Urquiza , F.C.G.U.",Lacroze- Gral. Lemos,Chacarita,Comuna 15,,,POINT (-58.466296196115955 -34.590104829428924)
23,23,La Paternal,"San Martin , F.C.G.S.M.",Retiro - Pilar,Paternal,Comuna 15,,,POINT (-58.46701517042347 -34.59697820787978)
24,24,Liniers,"Sarmiento , F.C.D.F.S.",Once-Moreno,Liniers,Comuna 9,,,POINT (-58.526465180128824 -34.63889875442699)
