id;fna;gna;nam;aso;dir;bar;com;tel;email;web;fab;twr;ins;sag;geometry
1;Estadio Autodromo Oscar y Juan Galvez;Estadio;Autodromo Oscar y Juan Galvez;Secretaría de Deportes;Roca, Cnel. Av. y Paz, Gral. Av.;Villa Riachuelo;8;4604-9100;;;http://www.autodromoba.com.ar/;https://www.facebook.com/pages/Aut%C3%B3dromo-de-Buenos-Aires-Oscar-y-Juan-G%C3%A1lvez-Oficial/151530198244691?fref=photo;;;POINT (19575.679847814492 62364.929030331405)
2;Estadio Cenard;Estadio;Cenard;Secretaría de Deportes;Sanchez, Miguel B. Av. 1050;Nuñez;13;4704-1600/84/85;;;http://www.deportes.gov.ar/;https://www.facebook.com/CeNARD.Argentina;;;POINT (20605.273081838848 79200.35309611085)
3;Estadio Mary Terán de Weiss;Estadio;Mary Terán de Weiss;Secretaría de Deportes;Roca, Cnel. Av. 3490;Villa Soldati;8;;;;http://www.buenosaires.gob.ar/corporacionsur/iniciativasdelacorporacion/parque-roca-sector-c;;;;POINT (21568.162264871276 64685.2321589619)
4;Estadio La Catedral del Polo;Estadio;La Catedral del Polo;Secretaría de Deportes;Del Libertador Av. y Dorrego Av.;Palermo;14;4777-5332;;;http://aapolo.com/;https://www.facebook.com/asociaciondepolo;https://twitter.com/asocdepolo;;POINT (23371.715051410458 76401.65538577046)
5;Estadio Luna Park;Estadio;Luna Park;Secretaría de Deportes;Madero, Eduardo Av. 420;San Nicolas;1;5279-5279;;;http://www.lunapark.com.ar/;https://www.facebook.com/stadiumLunaPark;https://twitter.com/stadiumlunapark;;POINT (28702.660677669555 72951.92533500669)
16;Estadio Diego Armando Maradona;Estadio;Diego Armando Maradona;Asociacion Atletica Argentinos Juniors;Gavilan 2151;Villa Gral. Mitre;11;4581-1243;;https://www.argentinosjuniors.com.ar/;https://www.facebook.com/aaajoficial;;Estadio - Museo;Secretaría de Deportes;POINT (19108.499338660953 72550.35318694686)
18;Estadio Microestadio Malvinas Argentinas;Estadio;Microestadio Malvinas Argentinas;Asociacion Atletica Argentinos Juniors;Gutenberg 350;Paternal;15;4552-5603/4551-6887;;https://www.argentinosjuniors.com.ar/;https://www.facebook.com/aaajoficial;;;Secretaría de Deportes;POINT (19251.272414212974 74144.60869822682)
36;"Estadio Claudio ""Chiqui"" Tapia";Estadio;"Claudio ""Chiqui"" Tapia";Club Atlético Barracas Central;Luna 1211;Barracas;4;4301-5855;info@barracascentral.com;http://www.barracascentral.com/;https://www.facebook.com/bcentral;;Cancha - Salones - Gimnasio;Secretaría de Deportes;POINT (26130.86063542255 68015.5380073088)
55;Estadio Don León Kolbowsky;Estadio;Don León Kolbowsky;Club Atlético Atlanta;Humboldt 374;Villa Crespo;15;4856-5999;club_atlanta@hotmail.com;http://www.caatlanta.com.ar/;https://www.facebook.com/clubatleticoatlantaoficial;;Natatorios - Salones - Canchas - Bibliotecas;Secretaría de Deportes;POINT (21356.481037122932 73789.83773675615)
56;Estadio Tomás Adolfo Ducó;Estadio;Tomás Adolfo Ducó;Club Atlético Huracán;Alcorta, Amancio Av. 2570;Parque Patricios;4;4911-9313/0757;;http://www.cahuracan.com/;https://www.facebook.com/cahuracan;;Estadio Tomas A. Ducó, Llamado Así por Quien Fue el Impulsor de Su Construcción, Fue declarado por la Legislatura Como Patrimonio Histórico y de defensa Estructural de la Ciudad de Buenos Aires, en el Año 2007 Bajo el Número de Expediente 62.548. /;Secretaría de Deportes;POINT (26065.806603887693 68451.5873487011)
99;Estadio Islas Malvinas;Estadio;Islas Malvinas;Club Atletico All Boys;Alvarez Jonte Av. 4180;Monte Castro;10;4639-8688;info@caallboys.com.ar;http://www.caallboys.com.ar/;https://www.facebook.com/caallboysoficial;;;Secretaría de Deportes;POINT (16756.146261763686 71442.97036597528)
103;Estadio Alberto J. Armando;Estadio;Alberto J. Armando;Club Atletico Boca Juniors;Brandsen 805;Boca;4;5777-1200;cas@bocajuniors.com.ar;http://www.bocajuniors.com.ar/;https://www.facebook.com/bocajuniors;;;Secretaría de Deportes;POINT (29025.85231816901 69190.9161168341)
