id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
1,FIAB 5,MARTES,de 8:00 a 14:00hs,5,Rojas 1201 entre Antezana y Apolinario Figueroa.,Villa Crespo,15,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Rojas,1201,NA,ROJAS 1201,NA
2,FIAB 11,VIERNES,de 8:00 a 14:00hs,11,Concepción Arenal - entre Guzmán y Av. Corrientes,Chacarita,15,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",Concepción Arenal,NA,Av. Corrientes,"ARENAL, CONCEPCION y CORRIENTES AV., CABA",NA
3,FIAB 2,MARTES,de 8:00 a 14:00hs,2,Yrurtia entre Athos Palma y Carlos Pellegrini,Saavedra,12,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",Yrurtia,NA,Athos Palma,"YRURTIA, ROGELIO y PALMA, ATHOS",NA
5,FIAB 12,SABADO,de 8:00 a 14:00hs,12,Sarmiento 3800 entre Bulnes y Salguero,Almagro,5,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Sarmiento,NA,Bulnes,SARMIENTO y BULNES,Plaza Almagro
6,FIAB 5,MIERCOLES,de 8:00 a 14:00hs,5,ALTE. F. J.SEGUI ENTRE AV. GAONA Y NEUQUEN,Caballito,6,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos","SEGUI, F. J., ALTE.",NA,GAONA AV.,"SEGUI, F. J., ALTE. y GAONA AV.",Plaza Irlanda
7,FIAB 5,SABADO,de 8:00 a 14:00hs,5,Bacacay 600 y 700 - entre Hidalgo y cruce Parral,Caballito,6,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",HIDALGO,NA,BACACAY,HIDALGO y BACACAY,NA
8,FIAB 5,DOMINGO,de 8:00 a 14:00hs,5,Seguí entre Neuquén y Av. Gaona,Caballito,6,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Seguí,NA,Neuquén,"SEGUI, F. J., ALTE. y NEUQUEN",Plaza Irlanda - Sabe La Tierra
9,FIAB 10,JUEVES,de 8:00 a 14:00hs,10,Giordano Bruno 700 entre Neuquén y Bogotá,Caballito,6,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Giordano Bruno,NA,Neuquén,"BRUNO, GIORDANO y NEUQUEN",NA
10,FIAB 12,MARTES,de 8:00 a 14:00hs,12,Av. Patricias Argentinas 400 entre cruce Antonio Machado con Leopoldo Marechal y Bravard,Caballito,6,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Av. Patricias Argentinas,400,NA,"PATRICIAS ARGENTINAS AV. 400, CABA",Parque Centenario
11,FIAB 12,DOMINGO,de 8:00 a 14:00hs,12,República Dominicana entre Salguero y Vidt,Palermo,14,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",República Dominicana,NA,Salguero,"REPUBLICA DOMINICANA y SALGUERO, JERONIMO, CABA",Plaza Unidad Latinoamericana
12,FIAB 4,MARTES,de 8:00 a 14:00hs,4,Cuba 4400 - entre Arias y Ramallo,Nuñez,13,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",Cuba,4400,NA,CUBA 4400,NA
13,FIAB 5,VIERNES,de 8:00 a 14:00hs,5,CALCENA ENTRE BOGOTA Y AV. AVELLANEDA (Pza. Angel Gris),Flores,7,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",CALCENA,NA,BOGOTA,CALCENA y BOGOTA,Plaza Angel Gris
14,FIAB 1,JUEVES,de 8:00 a 14:00hs,1,Camarones 4000 - entre Mercedes y Chivilcoy  A.,Floresta,10,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Camarones,4000,NA,"CAMARONES 4000, CABA",Plaza Ciudad de Udine
15,FIAB 7,MIERCOLES,de 8:00 a 14:00hs,7,BAHIA BLANCA ENTRE AV. AVELLANEDA Y BOGOTA,Floresta,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",AVELLANEDA AV.,NA,BAHIA BLANCA,AVELLANEDA AV. y BAHIA BLANCA,Plaza Velez Sarsfield
16,FIAB 7,SABADO,de 8:00 a 14:00hs,7,BAHIA BLANCA ENTRE AV. AVELLANEDA Y BOGOTA,Floresta,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",AVELLANEDA AV.,NA,BAHIA BLANCA,AVELLANEDA AV. y BAHIA BLANCA,Plaza Velez Sarsfield
17,FIAB 11,JUEVES,de 8:00 a 14:00hs,11,BARCALA ENTRE LA RIOJA Y GRAL. URQUIZA (Pza. Martín Fierro),San Cristobal,3,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",BARCALA,NA,LA RIOJA,BARCALA y LA RIOJA,Plaza Martín Fierro
19,FIAB 10,VIERNES,de 8:00 a 14:00hs,10,DIP.NAC. OSVALDO E. BENEDETTI ENTRE CORONEL RAMON L. FALCON Y PJE. PARTICULAR (ALT.BENEDETTI 170),Velez Sarsfield,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",DIP.NAC. OSVALDO E.BENEDETTI,NA,CORONEL RAMON FALCON,DIP.NAC. OSVALDO E.BENEDETTI y CORONEL RAMON FALCON,Plaza Falcón
20,FIAB 8,JUEVES,de 8:00 a 14:00hs,8,CORVALAN ENTRE AV. RIVADAVIA Y AV. RAMON FALCON,Villa Luro,10,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",CORVALAN,NA,RIVADAVIA AV.,CORVALAN y RIVADAVIA AV.,Plaza Ejército de los Andes
21,FIAB 1,MIERCOLES,de 8:00 a 14:00hs,1,Corrales Viejos  entre Av. Caseros y Patagones.,Parque Patricios,4,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Corrales Viejos,NA,Caseros,CORRALES VIEJOS y CASEROS AV.,NA
22,FIAB 8,VIERNES,de 8:00 a 14:00hs,8,GUAMINI ENTRE ERCILLA Y ULRICO SCHMIDL,Mataderos,9,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",FRAGATA LA ARGENTINA,NA,ERCILLA,FRAGATA LA ARGENTINA y ERCILLA,Plaza Onésimo Leguizamón
23,FIAB 10,MARTES,de 8:00 a 14:00hs,10,BASUALDO ENTRE MANUEL DE ARTIGAS Y AV. JUAN BAUTISTA ALBERDI,Mataderos,9,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",BASUALDO,NA,ARTIGAS MANUEL de,BASUALDO y ARTIGAS MANUEL de,NA
24,FIAB 4,MIERCOLES,de 8:00 a 14:00hs,4,"José I. de La Rosa 5700 entre Fonrouge, Pola y Av. Eva Perón",Villa Lugano,8,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos","DE LA ROSA, JOSE I., DR.",NA,FONROUGE,"DE LA ROSA, JOSE I., DR. y FONROUGE",Plazoleta Horacio Molina
25,FIAB 6,MIERCOLES,de 8:00 a 14:00hs,6,AV. SOLDADO DE LA FRONTERA Y COMBATE DE SAN CARLOS,Villa Lugano,8,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carne, fiambres y lácteos, limpieza",SOLDADO DE LA FRONTERA AV.,NA,COMBATE DE SAN CARLOS,SOLDADO DE LA FRONTERA AV. y COMBATE DE SAN CARLOS,NA
26,FIAB 1,MARTES,de 8:00 a 14:00hs,1,ISABEL LA CATOLICA y BRANDSEN,Barracas,4,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",ISABEL LA CATOLICA,NA,BRANDSEN,ISABEL LA CATOLICA y BRANDSEN,Plazoleta Colombia
27,FIAB 2,VIERNES,de 8:00 a 14:00hs,2,MACHAIN ENTRE AV. CRISOLOGO LARRALDE Y NUÑEZ,Saavedra,12,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",MACHAIN,NA,"LARRALDE, CRISOLOGO AV.","MACHAIN y LARRALDE, CRISOLOGO AV.",Plaza Alberdi
28,FIAB 4,JUEVES,de 8:00 a 14:00hs,4,GARCIA DEL RIO ENTRE CAP. GRAL. RAMON FREIRE Y CONDE,Saavedra,12,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",GARCIA DEL RIO,NA,"FREIRE, RAMON, CAP. GRAL.","GARCIA DEL RIO y FREIRE, RAMON, CAP. GRAL.",Parque Saavedra
29,FIAB 4,DOMINGO,de 8:00 a 14:00hs,4,García del Río 3200-3400 entre Conde y Pinto,Saavedra,12,"Frutihorticolas, pescadería, panadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",GARCIA DEL RIO,3200,NA,GARCIA DEL RIO AV. 3200,Parque Saavedra - También Sabe la Tierra
30,FIAB 8,MIERCOLES,de 8:00 a 14:00hs,8,PLAZA ENTRE AV. RUIZ HUIDOBRO Y BESARES,Saavedra,12,"Frutihorticolas, pescadería, mascotas, especies y legumbres, granja y carnes, fiambres y lácteos",PLAZA,NA,RUIZ HUIDOBRO AV.,PLAZA y RUIZ HUIDOBRO AV.,NA
31,FIAB 3,SABADO,de 8:00 a 14:00hs,3,BAUNESS ENTRE NAHUEL HUAPI Y Dr. PEDRO I. RIVERA,Villa Urquiza,12,"Pescaderia, especies y legumbres, granja y carne, fiambre y lácteos, limpieza",NAHUEL HUAPI,NA,CAPDEVILA,NAHUEL HUAPI y CAPDEVILA,Plaza Echeverría
32,FIAB 9,VIERNES,de 8:00 a 14:00hs,9,MILLER ENTRE MONROE Y FRANKLIN ROOSVERLT,Villa Urquiza,12,"Frutihorticolas, pescadería, plantas, especies y legumbres, granja y carnes, fiambres y lácteos",MILLER,NA,MONROE,MILLER y MONROE,Plaza Marcos Sastre
