id,comuna,calle,nombre,responsabl,direccion,x,y,altura,barrio,mail,telefono,geometry
3,Comuna 12,LARSEN 2594,El Sol,,LARSEN 2594,-58.505111398912796,-34.57698351270797,2594,Villa Pueyrredon,,(011) 4571-6713,POINT (-58.505111398912796 -34.57698351270797)
4,Comuna 2,PARAGUAY 2426,Carpe Diem,,PARAGUAY 2426,-58.402482856484404,-34.59788337285673,2426,Recoleta,,4963-3659 / 4966-0175,POINT (-58.402482856484404 -34.59788337285673)
5,Comuna 1,SAN JOSE 1870,Nuestra Señora del Carmen,,SAN JOSE 1870,-58.385334019569484,-34.63073497635811,1870,Constitucion,,4306-4476,POINT (-58.385334019569484 -34.63073497635811)
6,Comuna 1,BRASIL 1314,Residencia Avril,,BRASIL 1314,-58.384478715744194,-34.62838708590809,1314,Constitucion,,4305-1116 / 46314227,POINT (-58.384478715744194 -34.62838708590809)
7,Comuna 1,SAN JOSE 2013,Establecimiento Geriátrico San José,,SAN JOSE 2013,-58.38548822141487,-34.63259520839258,2013,Constitucion,,4304-5853,POINT (-58.38548822141487 -34.63259520839258)
8,Comuna 1,JUNCAL 857,Villa Juncal,,JUNCAL 857,-58.379432999284305,-34.59269017589287,857,Retiro,,4393-7732,POINT (-58.379432999284305 -34.59269017589287)
9,Comuna 1,TACUARI 1115,Instituto Geriátrico San Juan,,TACUARI 1115,-58.37887818430229,-34.62108246261188,1115,Constitucion,,4300-3271,POINT (-58.37887818430229 -34.62108246261188)
10,Comuna 1,HUMBERTO 1° 953,Instituto Geriátrico 9 de Julio,,HUMBERTO 1° 953,-58.37939228653491,-34.620877499454785,953,Constitucion,,4362-1788/ 4300-1529/ 4300-1503,POINT (-58.37939228653491 -34.620877499454785)
11,Comuna 1,CORDOBA AV. 1454,Siete Lunas Residencia,,CORDOBA AV. 1454,-58.387537133916645,-34.59950320951284,1454,San Nicolas,,4371-5700,POINT (-58.387537133916645 -34.59950320951284)
12,Comuna 1,COCHABAMBA 1641,Residencia Cochabamba,,COCHABAMBA 1641,-58.389030200026255,-34.62373787988916,1641,Constitucion,,,POINT (-58.389030200026255 -34.62373787988916)
