WKT;id_usig;direccion;categoria;tipo;nombre_org;nombre;destinatar;telefono;mail;horario;link_web;direccion_;barrio;comuna
POINT (-58.4195343951967 -34.6307930732185);149;Pavón 3918;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Boedo;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;PAVON AV. 3918;BOEDO;5
POINT (-58.4549075814757 -34.6242528338525);150;Donato Álvarez 130;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Caballito;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;ALVAREZ, DONATO, TTE. GRAL. 130;FLORES;7
POINT (-58.5249893795235 -34.649293588647);155;Félix Origone 946;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Liniers;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;ORIGONE, MANUEL FELIX, TTE 946;LINIERS;9
POINT (-58.478507764988 -34.6182282168519);156;Tres Arroyos 3037;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Santa Rita;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;TRES ARROYOS 3037;VILLA SANTA RITA;11
POINT (-58.4874471103808 -34.5505224614924);157;Correa 3930, Barrio Mitre;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Jacarandá Barrio Mitre;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;CORREA 3930;SAAVEDRA;12
POINT (-58.4941410057988 -34.6687677318564);151;Eva Perón 6600 - Establecimiento 387;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;La Voluntad del Cielo;Mixto de 3 a 13 años;;;Turno tarde;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;PERON, EVA AV. 6600;VILLA LUGANO;8
POINT (-58.4926579952088 -34.6672640325841);153;Av. Piedra Buena 3140 - Villa 15;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Aventurera;Mixto de 3 a 13 años;;;Turno mañana;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;PIEDRA BUENA AV. 3140;VILLA LUGANO;8
POINT (-58.4885454390577 -34.6836147822943);154;Manz 3, Casa 7 (Barrio INTA, Villa 19);Establecimiento;JUEGOTECAS BARRIALES;DGNyA;San Cayetano;Mixto de 3 a 13 años;;;Turno tarde;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;MANZANA 3. CASA 7 (Barrio INTA, Villa 19);VILLA LUGANO;8
POINT (-58.4533485176185 -34.6593683346236);152;Batlle y Ordónez, Manzan 5, Casa 53, Barrio Fátima, Villa 3;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;El Pastorcito;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;VILLA 3 - Bo FÁTIMA, MANZANA 5, CASA 53;VILLA SOLDATI;8
POINT (-58.3949017798535 -34.6610875248477);145;Luna y Orma, Villa 21/24 Barrio Tres Rosas;Establecimiento;JUEGOTECAS BARRIALES;DGNyA;Amor y Paz;Mixto de 3 a 13 años;;;;http://www.buenosaires.gob.ar/desarrollohumanoyhabitat/ninezyadolescencia/juegotecas;LUNA y ORMA;BARRACAS;4
