,long,lat,id,sede,actividad,link,email,telefono,observacion,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
0,-58.4713174560639,-34.6322545104349,18,ACA Flores,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Rivadavia,7530,,Flores,Comuna 7,1406,C1406GMS
1,-58.4708868909314,-34.6318470039195,4,ACA Flores,Otorgamiento de licencia de conducir.,http://www.buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir,consultas_licencias@buenosaires.gob.ar,147,,Av. Rivadavia,7530,,Flores,Comuna 7,1406,C1406GMS
2,-58.399195846432,-34.583482332363,17,ACA Libertador,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Libertador,1850,,Palermo,Comuna 14,1425,C1425AAR
3,-58.3995062427462,-34.583227619177,3,ACA Libertador,Otorgamiento de licencia de conducir.,http://www.buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir,consultas_licencias@buenosaires.gob.ar,147,,Av. Libertador,1850,,Palermo,Comuna 14,1425,C1425AAR
4,-58.4128181330026,-34.6109255656806,10,ACA Once,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Rivadavia,3319,,Balvanera,Comuna 3,1203,C1203AAF
5,-58.4612811255716,-34.6302343833319,14,Asociación Civil Creando Conciencia Urbana,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,Depto.1 PB,Ramón Falcón,2375,,Flores,Comuna 7,1406,C1406GNU
6,-58.4548851035202,-34.6864972406592,1,Central,Otorgamiento de licencia de conducir.,http://www.buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir,consultas_licencias@buenosaires.gob.ar,147,,Av. Roca,5252,,Villa Riachuelo,Comuna 8,,
7,-58.4407347503998,-34.6328417909801,15,Chacabuco,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Emilio Mitre,981,,Parque Chacabuco,Comuna 7,1424,C1424AYS
8,-58.3865651476859,-34.6043222266806,13,Colegio de Abogados,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,Piso 4,Av. Corrientes,1445,,San Nicolas,Comuna 1,1042,C1042AAA
9,-58.5154602214,-34.6087071461909,8,Comuna 11,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Beiró,4629,,Villa Devoto,Comuna 11,1419,C1419HZI
10,-58.4631042104832,-34.5542538355124,16,Comuna 13,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Cabildo,3067,,Nuñez,Comuna 13,1429,C1429AAB
11,-58.4633828164027,-34.554179356428,2,Comuna 13,Otorgamiento de licencia de conducir.,http://www.buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir,consultas_licencias@buenosaires.gob.ar,147,,Av. Cabildo,3067,,Nuñez,Comuna 13,1429,C1429AAB
12,-58.4087131564116,-34.5875908357674,9,Comuna 14,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Beruti,3325,,Palermo,Comuna 14,1425,C1425BBQ
13,-58.3931971417185,-34.5895651840982,5,Comuna 2,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,Piso 4,Vicente López,2050,,Recoleta,Comuna 2,1128,C1128ACF
14,-58.3781373387126,-34.6420787867997,6,Comuna 4,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Suárez,2032,,Barracas,Comuna 4,1288,C1288AFD
15,-58.4117087954208,-34.6232869638535,7,Comuna 5,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,(Momentáneamente sin servicio),Carlos Calvo,3307,,Boedo,Comuna 5,1230,C1230ABE
16,-58.3869941970355,-34.6008912654542,12,Consejo Ciencias Económicas,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,Subsuelo,Viamonte,1461,,San Nicolas,Comuna 1,1055,C1055ABA
17,-58.5155342976377,-34.6092037897345,11,La Nueva Seguros,Charlas de renovación.,http://www.buenosaires.gob.ar/licenciasdeconducir/requisitos/charlarenovacion,consultas_licencias@buenosaires.gob.ar,147,,Av. Beiró,4662,,Villa Devoto,Comuna 11,1419,C1419HZV
