id,nombre,tipo,direccion,telefono,barrio,comuna,geometry
7,"Fiscalías en lo Contencioso Administrativo y Tributario N° 1, 2, 3 y 4",Unidad Fiscal,"Mitre, Bartolome 1735",5295 2500,San Nicolas,Comuna 1,POINT (-58.39117384772227 -34.607707845834646)
8,Oficina de Atención a la Víctima y al Testigo (Av. Cabildo),Otra Dependencia,Cabildo Av. 3067,5297 8100,Nuñez,Comuna 13,POINT (-58.46383467402323 -34.55386576770692)
9,Oficina de Atención a la Víctima y al Testigo (Av. Paseo Colón),Otra Dependencia,Paseo Colon Av. 1333,5299 4400,San Telmo,Comuna 1,POINT (-58.36827416754337 -34.62312655511428)
10,Oficina de Atención a la Víctima y al Testigo (Beruti),Otra Dependencia,Beruti 3345,5297 8100,Palermo,Comuna 14,POINT (-58.40979211375423 -34.587002053667355)
11,Unidad de Orientación y Denuncia (Av. Cabildo),Unidad de Orientación y Denuncia,Cabildo Av. 3067,5297 8102,Nuñez,Comuna 13,POINT (-58.46385973504259 -34.55377690935649)
12,Unidad de Orientación y Denuncia (Av. Corrientes),Unidad de Orientación y Denuncia,Corrientes Av. 1441,,San Nicolas,Comuna 1,POINT (-58.387128133818734 -34.60386154420495)
13,Unidad de Orientación y Denuncia (Av. Paseo Colón),Unidad de Orientación y Denuncia,Paseo Colon Av. 1333,5299 4400,San Telmo,Comuna 1,POINT (-58.36836985352388 -34.623296353068106)
14,Unidad de Orientación y Denuncia (Av Pedro de Mendoza),Unidad de Orientación y Denuncia,Don Pedro De Mendoza Av. 2689,,La Boca,Comuna 4,POINT (-58.35847423692778 -34.644956954863325)
15,Unidad de Orientación y Denuncia (Av. Rivadavia),Unidad de Orientación y Denuncia,Rivadavia Av. 2690,,Balvanera,Comuna 3,POINT (-58.40429349495574 -34.610105828914186)
16,Unidad de Orientación y Denuncia (Beruti),Unidad de Orientación y Denuncia,Beruti 3345,4014 6110,Palermo,Comuna 14,POINT (-58.409151968961446 -34.58728428756294)
17,Unidad de Orientación y Denuncia (Combate de los Pozos),Unidad de Orientación y Denuncia,Combate De Los Pozos 155,4011 1586,Balvanera,Comuna 3,POINT (-58.39354072039755 -34.61107771350325)
18,Unidad de Orientación y Denuncia (Guzmán),Unidad de Orientación y Denuncia,Guzman 396,15 4026 1620,Chacarita,Comuna 15,POINT (-58.45179822780107 -34.58994275751053)
21,Unidad de Orientación y Denuncia (Pza. Miserere),Unidad de Orientación y Denuncia,"Pueyrredon Av. y Mitre, Bartolome",,Balvanera,Comuna 3,POINT (-58.40601165792143 -34.60929776239664)
22,Unidad de Orientación y Denuncia (Ramallo),Unidad de Orientación y Denuncia,Ramallo 4389,4545 2012,Saavedra,Comuna 12,POINT (-58.491051842116626 -34.550903440523264)
26,"Unidad Fiscal de Delitos, Contravenciones y Faltas Especificas (Fiscalías Nº 37 y 38)",Unidad Fiscal,"Mitre, Bartolome 1735",5295 2500,San Nicolas,Comuna 1,POINT (-58.39116627591742 -34.60783736953536)
27,"Unidad Fiscal Este (Fiscalías Nº 9, 10, 11, 12, 13, 14, 15, 16, 17, 21)",Unidad Fiscal,Beruti 3345,4014 5800,Palermo,Comuna 14,POINT (-58.409196301723824 -34.58707230974432)
28,"Unidad Fiscal Norte (Fiscalías Nº 1, 2, 3, 4, 5, 6, 7, 8 y 18)",Unidad Fiscal,Cabildo Av. 3067,5297 8100,Nuñez,Comuna 13,POINT (-58.463680815152856 -34.55369055713386)
29,"Unidad Fiscal Oeste (Fiscalías Nº 19, 20, 22, 23, 24, 25, 26, 27, 28)",Unidad Fiscal,Paseo Colon Av. 1333,5299 4400,San Telmo,Comuna 1,POINT (-58.36863949496571 -34.62335504430628)
30,"Unidad Fiscal Sur (Fiscalías Nº 29, 30, 31, 32, 33, 34, 35, 36, 39, 40)",Unidad Fiscal,Paseo Colon Av. 1333,5299 4400,San Telmo,Comuna 1,POINT (-58.36854669451144 -34.623311110985135)
