fna,gna,nam,act,dir,bar,com,tel,ing,obs,sag,geometry
Polideportivo Campo de Golf,Polideportivo,Campo de Golf,,"Tornquist, Ernesto Av. 6397",Palermo,14,4772-7261/7576 - 4777-4621,Gratuito,Reservas: 4774-9158,Secretaría de Deportes,POINT (22643.084193005943 77878.17552328044)
Polideportivo Parque Manuel Belgrano (Ex Kdt),Polideportivo,Parque Manuel Belgrano (Ex Kdt),Caminata - Ciclismo - Clases Dirigidas - Patín Carrera - Tenis,"Salguero, Jeronimo y Obligado Rafael, Av.Costanera",Palermo,14,4807-7700,Bono Contribución,"/tenis lunes a viernes de 9 a 22 y sáb,dom y fer de 9 a 20 /Ciclismo lunes a dom de 8,30 a 21 /Caminata lunes a dom de 9 a 18 /Patín Carrera lunes a dom de 830 a 2030 /Esp verdes lunes a dom de 8 a 20 Programa anual de deporte adaptado , Uso de espacio",Secretaría de Deportes,POINT (25644.50170146285 76272.06690729389)
Polideportivo Parque Olimpico,Polideportivo,Parque Olimpico,,"Roca, Cnel. Av. 3490",Villa Soldati,8,3706-4954,Bono Contribución,,Secretaría de Deportes,POINT (21989.118852989537 65701.69018399486)
Polideportivo Parque Sarmiento,Polideportivo,Parque Sarmiento,Clases Dirigidas - Frontón de Tenis - Fútbol - Patín - Pelota Paleta - Pista de Atletismo - Running y Caminata,"Balbin, Ricardo, Dr. Av. 4750",Saavedra,12,4547-0882,Bono Contribución,"/ Patín de 9 a 21  / Running-Caminata de 8 a 20  / Pelota paleta de 8 a 20  / Fronton de tenis de 8 a 19  / Pista de atletismo de 8 a 20  / Fútbol 11 de 8 a 20  / Espacios verdes de 8 a 19 / Bono Contribución (sábados, domingos y feriados) Programa a",Secretaría de Deportes,POINT (16766.556907755883 78447.9136201542)
Polideportivo Avellaneda,Polideportivo,Avellaneda,Atletismo - Básquet - Clases Dirigidas - Fútbol - Tenis,Lacarra Av. 1257,Parque Avellaneda,9,4671-5932,Gratuito,"Programa anual de deporte adaptado , Uso de espacios verdes",Secretaría de Deportes,POINT (18988.72763926412 68138.80620166915)
Polideportivo Chacabuco,Polideportivo,Chacabuco,Clases Dirigidas,"Peron, Eva Av. 1410",Parque Chacabuco,7,4921-5776,Gratuito,Programa anual de deporte adaptado,Secretaría de Deportes,POINT (21706.606647705306 69575.49634552479)
Polideportivo Colegiales,Polideportivo,Colegiales,Básquet - Clases Dirigidas - Fútbol - Fútbol Sintético - Hándball - Tenis,"Freire, Ramon, Cap. Gral. 234",Colegiales,13,4555-7074,Gratuito,,Secretaría de Deportes,POINT (21708.55558456218 75523.63708060129)
Polideportivo Costa Rica,Polideportivo,Costa Rica,Básquet - Clases Dirigidas - Fútbol 5 - Tenis,Chorroarin Av. y De Los Constituyentes Av.,Agronomia,15,4521-8063,Gratuito,,Secretaría de Deportes,POINT (18798.428302762215 74156.97758064151)
Polideportivo Don Pepe,Polideportivo,Don Pepe,Básquet - Clases Dirigidas - Fútbol - Patín Roller - Tenis - Vóley,"Brandsen y Hornos, Gral.",Barracas,4,4302-1618,Gratuito,,Secretaría de Deportes,POINT (27965.57851732878 69010.21605819458)
Polideportivo Dorrego,Polideportivo,Dorrego,Básquet - Clases Dirigidas - Fútbol,"Monte y De La Torre, Lisandro Av.",Mataderos,9,4687-6823,Gratuito,,Secretaría de Deportes,POINT (17008.295554331424 65777.22754059001)
Polideportivo Martin Fierro,Polideportivo,Martin Fierro,Básquet - Clases Dirigidas - Fútbol 5 - Fútbol 7,Oruro 1300,San Cristobal,3,4941-2054,Gratuito,,Secretaría de Deportes,POINT (25021.356347179462 70347.10167327271)
Polideportivo Onega,Polideportivo,Onega,Básquet - Clases Dirigidas - Fútbol - Tenis - Vóley,"Mistral, Gabriela 3819",Villa Devoto,11,4504-2711,Gratuito,,Secretaría de Deportes,POINT (15374.540786168203 73853.65192020858)
Polideportivo Patricios,Polideportivo,Patricios,Básquet - Clases Dirigidas - Escuelas de Deporte Adaptado - Fútbol 5 - Tenis - Vóley,Pepiri 135,Parque Patricios,4,4911-4642,Gratuito,"Ingreso general y uso del parque , Programa anual de deporte adaptado",Secretaría de Deportes,POINT (24987.144382562627 68906.15957042853)
Polideportivo Pereyra,Polideportivo,Pereyra,Básquet - Clases Dirigidas - Fútbol - Hándball - Vóley,Velez Sarsfield Av. 1271,Barracas,4,4301-3700,Gratuito,,Secretaría de Deportes,POINT (26778.92716966274 67793.00461875732)
Polideportivo Pomar,Polideportivo,Pomar,Básquet - Clases Dirigidas - Fútbol - Tenis - Vóley,Mercedes 1300,Floresta,10,4568-0184,Gratuito,,Secretaría de Deportes,POINT (17445.901877896802 70766.67711193404)
Polideportivo Santojanni,Polideportivo,Santojanni,Básquet - Clases Dirigidas - Fútbol 5 - Fútbol 9 - Tenis - Vóley,Patron 6222,Liniers,9,4641-2462,Gratuito,,Secretaría de Deportes,POINT (15388.763651581075 68076.35491373997)
