long,lat,id,programa,actividad,sede,horario,telefono,email,web,facebook,twitter,observacio,objeto,calle_nomb,calle_altu,cruce,barrio,comuna,codigo_pos,codigo_p_1,geometry
-58.50381967319109,-34.576385797272664,44,Plazas Activas,Gimnasia,Alem,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Larsen,,"Artigas, Jose Gervasio, Gral.",Villa Pueyrredon,Comuna 12,,,POINT (-58.50381967319109 -34.576385797272664)
-58.513336994043776,-34.59919104569472,45,Plazas Activas,Aerolocal - Gimnasia - Newcom - Ritmos,Arenales,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Pareja,,Mercedes,Villa Devoto,Comuna 11,,,POINT (-58.513336994043776 -34.59919104569472)
-58.49360392307435,-34.605465286884716,46,Plazas Activas,Aerolocal - Gym Total,Aristobulo del Valle,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Baigorria,,Campana,Villa Del Parque,Comuna 11,,,POINT (-58.49360392307435 -34.605465286884716)
-58.474267926474106,-34.64585166692187,12,BA Discapacidad,Colonia de Vacaciones,Avellaneda,Sábado de 10:00 a 17:00 hs,,deportesdiscapacidad@buenosaires.gob.ar,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra Av.,1257,,Parque Avellaneda,Comuna 9,,,POINT (-58.474267926474106 -34.64585166692187)
-58.47587334066125,-34.64547688537257,47,Plazas Activas,Acondicionamiento Físico - Aero Gimnasio - Conciencia Corporal - Gym Local - Ritmos - Stretching,Avellaneda,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lacarra Av.,,"Bilbao, Francisco Av.",Parque Avellaneda,Comuna 9,,,POINT (-58.47587334066125 -34.64547688537257)
-58.52144829877909,-34.62809000890821,1,BA Corre,Acondicionamiento Físico - Caminata - Running,Banff,Miércoles de 19:00 a 21:00 hs // Miércoles de 19:00 a 21:00 hs // Miércoles de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs // Lunes de 19:00 a 21:00 hs,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Roma,,Arregui Av.,Versalles,Comuna 10,,,POINT (-58.52144829877909 -34.62809000890821)
-58.45686098936489,-34.65602078487369,25,Núcleos BA,Boxeo - Escuelita de Fútbol (EFI) - Fútbol - Fútbol Femenino - Fútbol Masculino - Natación,Barrilo R. Carrillo (C. A. Virgen Inmaculada),,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Pasaje L,,Martinez Castro,Villa Soldati,Comuna 8,,,POINT (-58.45686098936489 -34.65602078487369)
-58.432636460030515,-34.64983848290239,19,Núcleos BA,Danza Afroperuana - Fútbol - Hockey - Patín - Taekwondo,Barrio 1.11.14,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"Moreno, Perito Av.",,"Fernandez De La Cruz, F., Gral. Av.",Flores,Comuna 7,,,POINT (-58.432636460030515 -34.64983848290239)
-58.46569393398981,-34.677320179463706,20,Núcleos BA,Actividad Rítmica - Béisbol - Boxeo - Escuelita de Fútbol (EFI) - Frontball - Fútbol Femenino - Fútbol Masculino - Gimnasia Adultos - Gimnasia Artística - Hándball - Kung Fu - Palestra - Taekwondo,Barrio 20,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Pola,,"Chilavert, Martiniano, Coronel",Villa Lugano,Comuna 8,,,POINT (-58.46569393398981 -34.677320179463706)
-58.39724249287764,-34.65604234462087,21,Núcleos BA,Fútbol - Fútbol 5 - Hockey,Barrio 21.24,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Zavaleta,1261,,Barracas,Comuna 4,,,POINT (-58.39724249287764 -34.65604234462087)
