X;Y;ID;MES;SEMANA;ZONA;CALLE;ALTURA;ESTADO;DOM_NORMA;DOM_GEO
-58.4015170524235;-34.6134625610604;1;AGOSTO;1 AL 6;2 Y 3;ALBERTI;315;FINALIZADO;ALBERTI 315;315 ALBERTI
-58.4031742378493;-34.5988330861136;2;AGOSTO;1 AL 6;2 Y 3;CORDOBA AV;2554;FINALIZADO;CORDOBA AV. 2554;2554 CORDOBA AV.
-58.3944265721565;-34.6183713859873;3;AGOSTO;1 AL 6;2 Y 3;INDEPENDENCIA AV;1998;FINALIZADO;INDEPENDENCIA AV. 1998;1998 INDEPENDENCIA AV.
-58.5126673640788;-34.6091687616436;4;AGOSTO;1 AL 6;4;SIMBRON Y MARCOS PAZ;;FINALIZADO;SIMBRON Y PAZ, MARCOS;SIMBRON & PAZ, MARCOS
-58.5109532650939;-34.6096375668121;5;AGOSTO;1 AL 6;4;TINOGASTA Y ZURICH;;FINALIZADO;TINOGASTA Y ZURICH;TINOGASTA & ZURICH
-58.5152299699643;-34.6172035392726;6;AGOSTO;1 AL 6;4;CERVANTES Y NOGOYA;;FINALIZADO;CERVANTES Y NOGOYA;CERVANTES & NOGOYA
-58.5124698898213;-34.6151067340398;7;AGOSTO;1 AL 6;4;NOGOYA Y DESAGUADERO;;FINALIZADO;NOGOYA Y DESAGUADERO;NOGOYA & DESAGUADERO
-58.5097129786512;-34.6100756033678;8;AGOSTO;1 AL 6;4;SEGUROLA Y PEDRO LOZANO;;FINALIZADO;SEGUROLA AV. Y LOZANO, PEDRO;SEGUROLA AV. & LOZANO, PEDRO
-58.5156057945546;-34.6124802491222;9;AGOSTO;1 AL 6;4;TINOGASTA Y DESAGUADERO;;FINALIZADO;TINOGASTA Y DESAGUADERO;TINOGASTA & DESAGUADERO
-58.494785633418;-34.6150160430127;10;AGOSTO;1 AL 6;4;MIRANDA Y JOAQUIN V GONZALEZ;;FINALIZADO;MIRANDA Y GONZALEZ, JOAQUIN V.;MIRANDA & GONZALEZ, JOAQUIN V.
-58.4775218686599;-34.6019185956614;11;AGOSTO;1 AL 6;4;TERRERO Y BERNARDO DE LEON;;FINALIZADO;TERRERO Y LEON, BERNARDO DE;TERRERO & LEON, BERNARDO DE
-58.4836547943145;-34.6045796996639;12;AGOSTO;1 AL 6;4;CONDARCO Y EL QUIJOTE;;FINALIZADO;CONDARCO Y EL QUIJOTE;CONDARCO & EL QUIJOTE
-58.4372985396604;-34.6087899948485;13;AGOSTO;1 AL 6;5 Y 6;DIAZ VELEZ Y LEOPOLDO MARECHAL;;FINALIZADO;DIAZ VELEZ AV. Y MARECHAL, LEOPOLDO;DIAZ VELEZ AV. & MARECHAL, LEOPOLDO
-58.4376825983433;-34.6076748250144;14;AGOSTO;1 AL 6;5 Y 6;LEOPOLDO MARECHAL;901;FINALIZADO;MARECHAL, LEOPOLDO 901;901 MARECHAL, LEOPOLDO
-58.4274398245153;-34.6149751648145;15;AGOSTO;1 AL 6;5 Y 6;HIPOLITO YRIGOYEN Y MUÑIZ;;FINALIZADO;YRIGOYEN, HIPOLITO AV. Y MUÑIZ;YRIGOYEN, HIPOLITO AV. & MUÑIZ
-58.4124082661731;-34.6287420552545;16;AGOSTO;1 AL 6;5 Y 6;TARIJA;3340;FINALIZADO;TARIJA 3340;3340 TARIJA
-58.4152119148668;-34.6372086465946;17;AGOSTO;1 AL 6;5 Y 6;RONDEAU;3590;FINALIZADO;RONDEAU 3590;3590 RONDEAU
-58.4191894545082;-34.6372681957015;18;AGOSTO;1 AL 6;5 Y 6;CASTRO;2101;FINALIZADO;CASTRO 2101;2101 CASTRO
-58.4163460019367;-34.6071700657643;19;AGOSTO;1 AL 6;5 Y 6;BILLINGHURST;290;FINALIZADO;BILLINGHURST 290;290 BILLINGHURST
-58.4241400614333;-34.6158024118651;20;AGOSTO;1 AL 6;5 Y 6;BELGRANO;4079;FINALIZADO;BELGRANO 4079;4079 BELGRANO
-58.4271940317882;-34.6025827477119;21;AGOSTO;1 AL 6;5 Y 6;PRINGLES;800;FINALIZADO;PRINGLES 800;800 PRINGLES
-58.4527409534073;-34.6403296830128;22;AGOSTO;1 AL 6;7;CARLOS ORTIZ;1107;FINALIZADO;ORTIZ, CARLOS 1107;1107 ORTIZ, CARLOS
-58.4531650602479;-34.6428489369328;23;AGOSTO;1 AL 6;7;PEDERNERA;1295;FINALIZADO;PEDERNERA 1295;1295 PEDERNERA
-58.4532666844601;-34.6429591579029;24;AGOSTO;1 AL 6;7;PERRAULT;1296;FINALIZADO;PERRAULT 1296;1296 PERRAULT
-58.4534204387509;-34.643034802017;25;AGOSTO;1 AL 6;7;PERRAULT;1293;FINALIZADO;PERRAULT 1293;1293 PERRAULT
-58.4534649738733;-34.6431452820038;26;AGOSTO;1 AL 6;7;RENAN;1296;FINALIZADO;RENAN 1296;1296 RENAN
-58.4535916538507;-34.6432444820211;27;AGOSTO;1 AL 6;7;RENAN;1295;FINALIZADO;RENAN 1295;1295 RENAN
-58.453664005046;-34.6433321106292;28;AGOSTO;1 AL 6;7;RAMON Y CAJAL;1296;FINALIZADO;RAMON Y CAJAL 1296;1296 RAMON Y CAJAL
-58.4537907927358;-34.643431220213;29;AGOSTO;1 AL 6;7;RAMON Y CAJAL;1295;FINALIZADO;RAMON Y CAJAL 1295;1295 RAMON Y CAJAL
-58.4565912766187;-34.6373899147359;30;AGOSTO;1 AL 6;7;MEMBRILLAR;795;FINALIZADO;MEMBRILLAR 795;795 MEMBRILLAR
-58.4571997531089;-34.6380200178743;31;AGOSTO;1 AL 6;7;PRIMERA JUNTA;2407;FINALIZADO;PRIMERA JUNTA 2407;2407 PRIMERA JUNTA
-58.4585104900914;-34.6396011372273;32;AGOSTO;1 AL 6;7;PRIMERA JUNTA;2602;FINALIZADO;PRIMERA JUNTA 2602;2602 PRIMERA JUNTA
-58.4737260993449;-34.6255247131678;33;AGOSTO;1 AL 6;8;ARANGUREN;2999;FINALIZADO;ARANGUREN, JUAN F., DR. 2999;2999 ARANGUREN, JUAN F., DR.
-58.4738101019594;-34.6255470599624;34;AGOSTO;1 AL 6;8;ARANGUREN;3001;FINALIZADO;ARANGUREN, JUAN F., DR. 3001;3001 ARANGUREN, JUAN F., DR.
-58.4737566540445;-34.6256843571376;35;AGOSTO;1 AL 6;8;ARANGUREN;3002;FINALIZADO;ARANGUREN, JUAN F., DR. 3002;3002 ARANGUREN, JUAN F., DR.
-58.4746740310421;-34.625928378772;36;AGOSTO;1 AL 6;8;ARANGUREN;3084;FINALIZADO;ARANGUREN, JUAN F., DR. 3084;3084 ARANGUREN, JUAN F., DR.
-58.4749862248608;-34.6260114260417;37;AGOSTO;1 AL 6;8;ARANGUREN;3108;FINALIZADO;ARANGUREN, JUAN F., DR. 3108;3108 ARANGUREN, JUAN F., DR.
-58.4750611967851;-34.6258798553346;38;AGOSTO;1 AL 6;8;ARANGUREN;3109;FINALIZADO;ARANGUREN, JUAN F., DR. 3109;3109 ARANGUREN, JUAN F., DR.
