HOSPITAL;TELEFONO;HORARIO;DIRECCION;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
ALVAREZ;;DE 8:30 A 13:00;ARANGUREN, JUAN F., DR. 2701;ARANGUREN, JUAN F., DR.;2701;FLORES;COMUNA 7;1406;C1406FWY;-34.62429291471061;-58.469421503437445
ARGERICH;4362-2127;DE 8:30 A 13:30;BROWN, ALTE. AV. 240;BROWN, ALTE. AV.;240;BOCA;COMUNA 4;1155;C1155ADP;-34.62845014164953;-58.3660217056813
DURAND;4982-4226;DE 8:30 A 13:30;DIAZ VELEZ AV. 5044;DIAZ VELEZ AV.;5044;CABALLITO;COMUNA 6;1405;C1405DCS;-34.60887221454997;-58.43788809972081
FERNANDEZ;4808-2600 INTERNO 1412;DE 7:30 A 12:30;CERVIÑO AV. 3356;CERVIÑO AV.;3356;PALERMO;COMUNA 14;1425;C1425AGP;-34.581041720025475;-58.406760759607174
PINIERO;4632-8350 / 4632-8983;DE 8:30 A 13:30;VARELA AV. 1301;VARELA AV.;1301;FLORES;COMUNA 7;1406;C1406ELA;-34.64412373787121;-58.453675441280936
RIVADAVIA;4809-2000 INTERNO 2200;DE 7:30 A 12:30;LAS HERAS GENERAL AV. 2670;LAS HERAS GENERAL AV.;2670;RECOLETA;COMUNA 2;1425;C1425ASQ;-34.584354104445794;-58.400809749236764
PIROVANO;;DE 7:30 A 12:30;MONROE AV. 3555;MONROE AV.;3555;COGHLAN;COMUNA 12;1430;C1430BKC;-34.56510559779512;-58.470986628920436
SANTOJANNI;4642-4075;DE 8:30 A 13:30;PILAR 950;PILAR;950;LINIERS;COMUNA 9;1408;C1408INH;-34.64935460593813;-58.51580277418918
VELEZ SARSFIELD;;;CALDERON DE LA BARCA, PEDRO 1550;CALDERON DE LA BARCA, PEDRO;1550;MONTE CASTRO;COMUNA 10;1407;C1407KQF;-34.62522803618674;-58.50750025960879
MATERNIDAD SARDA;4943-5580 INTERNO 7162;DE 7:30 A 12:30;LUCA, ESTEBAN DE 2151;LUCA, ESTEBAN DE;2151;PARQUE PATRICIOS;COMUNA 4;1246;C1246ABQ;-34.63482379120558;-58.402536742318674
PENNA / CHURRUCA (*);4911-0882;DE 8:30 A 13:30;CHUTRO, PEDRO, PROF., DR. 3380;CHUTRO, PEDRO, PROF., DR.;3380;PARQUE PATRICIOS;COMUNA 4;1437;C1437IYP;-34.6430535875587;-58.411411944319944
RAMOS MEJIA;4127-0204;DE 7:30 A 12:30;URQUIZA, GRAL. 609;URQUIZA, GRAL.;609;BALVANERA;COMUNA 3;1221;C1221ADC;-34.61762153336016;-58.40939781880596
