CIRCUNSCRIPCION;TEL;HORARIO;TRAMITES;DIRECCION;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1º (CENTRAL);4373-8441/5;VER CUADRO TRAMITES;ENTREGA DE PARTIDAS DE 8:30 A 13:30HS. SOLICITUD DE PARTIDAS DE 8:30 A 14:30HS. TRAMITES DE DNI Y PASAPORTE DE 7:30 A 19 HS. RESTO DE LOS TRAMITES DE 9:30 A 14:30 HS. TURNOS PREVIOS: NACIMIENTO, RECONOCIMIENTO, MATRIMONIO, UNION CIVIL, UNION CONVIVENCIAL, MATRIMONIO, 7.30 A 18.00 HS. INFORMACIONES SUMARIAS: 9:30 A 18:00 HS.;URUGUAY AV. 753;URUGUAY AV.;753;SAN NICOLAS;COMUNA 1;1015;C1015ABO;-34.599882626368846;-58.38668647012811
2º;CERRADO TEMPORALMENTE;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;URIBURU JOSE E., PRES. 1022;URIBURU JOSE E., PRES.;1022;RECOLETA;COMUNA 2;1114;C1114AAF;-34.596664356161135;-58.39884259198267
3ºSUBSEDE;4304-0017 / 2838;9.30 A 14.30HS;TURNOS PREVIOS: NACIMIENTO, RECONOCIMIENTO, MATRIMONIO, UNION CIVIL, UNION CONVIVENCIAL.;SARANDI 1273;SARANDI;1273;SAN CRISTOBAL;COMUNA 3;1251;C1251ADA;-34.623214;-58.393793
4ºSUBSEDE;4301-6544 / 4628 / 6679 / 6536 / 3867;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, NACIMIENTO, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;SUAREZ AV. 2032;SUAREZ AV.;2032;BARRACAS;COMUNA 4;1288;C1288AFD;-34.641552178439234;-58.37877549736636
5º;4931-6699 / 4932-5471;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, NACIMIENTO.;CALVO, CARLOS 3325;CALVO, CARLOS;3325;BOEDO;COMUNA 5;1230;C1230ABE;-34.62304876269604;-58.41266023420074
6º;4958-6504;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, SOLICITUD Y ENTREGA DE PARTIDAS, INFORMACIONES SUMARIAS.;PATRICIAS ARGENTINAS AV. 227;PATRICIAS ARGENTINAS AV.;227;CABALLITO;COMUNA 6;1405;C1405BWC;-34.606182429950415;-58.432828585593285
7º;CERRADO TEMPORALMENTE;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, NACIMIENTOS, RECONOCIMIENTOS, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;RIVADAVIA AV. 7202;RIVADAVIA AV.;7202;FLORES;COMUNA 7;1406;C1406GMP;-34.63015235323022;-58.467001863431086
8º;4605-2631;9.30 A 14.30HS;NACIMIENTOS, RECONOCIMIENTOS, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;ROCA, CNEL. AV. 5252;ROCA, CNEL. AV.;5252;VILLA RIACHUELO;COMUNA 8;1439;C1439DVN;-34.68470671233844;-58.45533849871708
9º;4687-2569/2570/2512;9.30 A 14.30HS;INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;GORDILLO, TIMOTEO 2212;GORDILLO, TIMOTEO;2212;MATADEROS;COMUNA 9;1440;C1440EET;-34.65968728681651;-58.50509051107102
10º;4636-2898 / 2490 / 2398 / 2262 / 1678;9.30 A 14.30HS;MATRIMONIOS, NACIMIENTOS, RECONOCIMIENTOS, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;BACACAY 3968;BACACAY;3968;FLORESTA;COMUNA 10;1407;C1407EDN;-34.63181160018724;-58.48356764813259
11º;4504-6044;9:30 A 14:30 HS.;INF. SUMARIAS, NACIMIENTO, SOLICITUD Y ENTREGA DE PARTIDAS, MATRIMONIOS, UNION CIVIL;GUTIERREZ, RICARDO 3254;GUTIERREZ, RICARDO;3254;VILLA DEL PARQUE;COMUNA 11;1417;C1417ECB;-34.601835781020384;-58.49581364738267
12º;4522-9947 / 4745;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;MILLER 2751;MILLER;2751;VILLA URQUIZA;COMUNA 12;1431;C1431GEC;-34.568791008916996;-58.48291727006724
13º;4702-3748;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, NACIMIENTOS, RECONOCIMIENTOS, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;CABILDO AV. 3067;CABILDO AV.;3067;NUÑEZ;COMUNA 13;1429;C1429AAB;-34.55377995347958;-58.46402563125616
14º;4827-5957 / 5954 / 7376;9.30 A 14.30HS;MATRIMONIOS, UNION CIVIL, NACIMIENTOS, RECONOCIMIENTOS, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;BERUTI 3325;BERUTI;3325;PALERMO;COMUNA 14;1425;C1425BBQ;-34.587232322274886;-58.40943697899385
15º;4771-1960 / 4771-0750 / 4771-2305;9:30 A 14:30HS;MATRIMONIOS, UNION CIVIL, INF. SUMARIAS, SOLICITUD Y ENTREGA DE PARTIDAS.;CORDOBA AV. 5690;CORDOBA AV.;5690;CHACARITA;COMUNA 15;1414;C1414BBP;-34.586985103502236;-58.441254526247526
