fna,gna,nam,dir,bar,com,tel,web,sag,geometry
Sede Comunal 1,Sede Comunal,Comunal 1,Humberto 1° 250,San Telmo,1,,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-1,Secretaría de Innovación y Transformación Digital,POINT (28615.885145573622 70947.088427481)
Subsede Comunal 2,Subsede Comunal,Comunal 2,"Lopez, Vicente 2050, 3 piso",Recoleta,2,4808-7300,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-2,Secretaría de Innovación y Transformación Digital,POINT (26375.33632060788 74454.15121550763)
Sede Comunal 2,Sede Comunal,Comunal 2,"Uriburu Jose E., Pres. 1022",Recoleta,2,4370-9702,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-2,Secretaría de Innovación y Transformación Digital,POINT (25905.02372226815 73615.83360385906)
Sede Comunal 3,Sede Comunal,Comunal 3,Sarandi 1273,San Cristobal,3,4304-5153,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-3,Secretaría de Innovación y Transformación Digital,POINT (26374.816138733575 70610.78725884411)
Subsede Comunal 3,Subsede Comunal,Comunal 3,Moreno 2301,Balvanera,3,4304-5153,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-3,Secretaría de Innovación y Transformación Digital,POINT (25894.893117844793 71802.38369091408)
Sede Comunal 4,Sede Comunal,Comunal 4,Barco Centenera Del 2906,Nueva Pompeya,4,4918-2243/1815/8920-4949 9024 int 105,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-4,Secretaría de Innovación y Transformación Digital,POINT (23543.43219201507 67663.1892085707)
Unidad de Atención Ciudadana Comuna 4,Unidad de Atención Ciudadana,Comuna 4,"Garcia, Martin Av. 464",Barracas,4,,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-4,Secretaría de Innovación y Transformación Digital,POINT (28436.839100272708 69885.14860329639)
Sede Comunal 5,Sede Comunal,Comunal 5,"Calvo, Carlos 3307",Boedo,5,4931- 0667 (int. 307 y 308).,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-5,Secretaría de Innovación y Transformación Digital,POINT (24675.594000900375 70712.04482092574)
Sede Comunal 13,Sede Comunal,Comunal 13,"Cabildo Av. 3067, 1 piso",Nuñez,13,4702-3748 / 9,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-13,Secretaría de Innovación y Transformación Digital,POINT (19943.349248223312 78378.47478114767)
Sede Comunal 14,Sede Comunal,Comunal 14,Beruti 3325,Palermo,14,4827-5957 / 4827-5954,https://buenosaires.gob.ar/jefaturadegabinete/atencion-ciudadana-y-gestion-comunal/gestion-comunal/comuna-14,Secretaría de Innovación y Transformación Digital,POINT (24954.201381838044 74669.90647215681)
