long,lat,objectid,clave_vere,numero_ord,clave_vado,origendato
-58.5162886150127,-34.6321406253762,70645,091-010-042B-4097-1,2,091-010-042B-4097-1-2,VueloFotogrametrico
-58.5193141975781,-34.6319091752439,70646,091-011-001-1056-1,1,091-011-001-1056-1-1,VueloFotogrametrico
-58.5193416727424,-34.631907433988,70647,091-011-001-1056-1,2,091-011-001-1056-1-2,VueloFotogrametrico
-58.5201445549726,-34.632895752881,70648,091-011-013-1056-1,1,091-011-013-1056-1-1,VueloFotogrametrico
-58.5201653244717,-34.6328182985121,70649,091-011-013-1056-1,2,091-011-013-1056-1-2,VueloFotogrametrico
-58.5189657758055,-34.6329087297789,70650,091-011-018A-12116-1,1,091-011-018A-12116-1-1,VueloFotogrametrico
-58.5177522293631,-34.6310453057726,70651,091-012A-001-4097-1,1,091-012A-001-4097-1-1,VueloFotogrametrico
-58.5189703653997,-34.6324394095617,70652,091-012A-021-12116-1,1,091-012A-021-12116-1-1,VueloFotogrametrico
-58.5187660701156,-34.6328900198001,70653,091-012A-025-1035-1,1,091-012A-025-1035-1-1,VueloFotogrametrico
-58.5188688665763,-34.6328769282479,70654,091-012A-025-1035-1,2,091-012A-025-1035-1-2,VueloFotogrametrico
-58.5173329966102,-34.6313780829408,70655,091-012A-048-1035-1,1,091-012A-048-1035-1-1,VueloFotogrametrico
-58.5163343879267,-34.630663491871,70738,091-033-016-1035-1,1,091-033-016-1035-1-1,VueloFotogrametrico
-58.5164225650466,-34.6306610440491,70739,091-033-016-1035-1,2,091-033-016-1035-1-2,VueloFotogrametrico
-58.5156370499644,-34.6301622484386,70740,091-033-023-1035-1,1,091-033-023-1035-1-1,VueloFotogrametrico
-58.5156395393656,-34.6301084476863,70741,091-033-023-1035-1,2,091-033-023-1035-1-2,VueloFotogrametrico
-58.5095324671055,-34.6345694011406,70742,091-038-000-10018-1,1,091-038-000-10018-1-1,VueloFotogrametrico
-58.5086649435308,-34.6344989344348,70743,091-038-000-9018-1,1,091-038-000-9018-1-1,VueloFotogrametrico
-58.5091028005914,-34.6341578034366,70744,091-038-000-13011-1,1,091-038-000-13011-1-1,VueloFotogrametrico
-58.5091987547811,-34.6340554571495,70745,091-039-001-13011-1,1,091-039-001-13011-1-1,VueloFotogrametrico
-58.5101394726314,-34.6333756935472,70746,091-039-009-9018-1,1,091-039-009-9018-1-1,VueloFotogrametrico
-58.5100939209076,-34.633371729975,70747,091-039-009-9018-1,2,091-039-009-9018-1-2,VueloFotogrametrico
-58.5106302096474,-34.6338539639991,70748,091-039-014-3034-1,1,091-039-014-3034-1-1,VueloFotogrametrico
-58.5106192197454,-34.6337925520096,70749,091-039-014-3034-1,2,091-039-014-3034-1-2,VueloFotogrametrico
-58.5096778881984,-34.6345291189146,70750,091-039-022-13011-1,1,091-039-022-13011-1-1,VueloFotogrametrico
-58.509768678039,-34.6345262383063,70751,091-039-022-13011-1,2,091-039-022-13011-1-2,VueloFotogrametrico
-58.5102154223917,-34.6333012748517,70752,091-040-001-3034-1,1,091-040-001-3034-1-1,VueloFotogrametrico
-58.5102286239803,-34.633256059623,70753,091-040-001-3034-1,2,091-040-001-3034-1-2,VueloFotogrametrico
-58.511081706525,-34.6326555099857,70754,091-040-008-9018-1,1,091-040-008-9018-1-1,VueloFotogrametrico
-58.5110327486732,-34.6326503208335,70755,091-040-008-9018-1,2,091-040-008-9018-1-2,VueloFotogrametrico
-58.5276953880786,-34.6384356430361,70436,095-008-000-23054-1,2,095-008-000-23054-1-2,VueloFotogrametrico
-58.5272092900461,-34.6383984279841,70437,095-008-000-23054-1,3,095-008-000-23054-1-3,VueloFotogrametrico
-58.5266247247897,-34.6383548439858,70438,095-008-000-23054-1,4,095-008-000-23054-1-4,VueloFotogrametrico
-58.5264000041165,-34.6383380883839,70439,095-008-000-23054-1,5,095-008-000-23054-1-5,VueloFotogrametrico
-58.5252612234616,-34.6382645823595,70440,095-008-000-23054-1,6,095-008-000-23054-1-6,VueloFotogrametrico
-58.527649085933,-34.6391363329032,70441,095-008-000-3213-1,1,095-008-000-3213-1-1,VueloFotogrametrico
-58.5265618982061,-34.6390507494885,70442,095-008-000-3213-1,2,095-008-000-3213-1-2,VueloFotogrametrico
-58.5263552876244,-34.6390344064066,70443,095-008-000-3213-1,3,095-008-000-3213-1-3,VueloFotogrametrico
-58.5252077530367,-34.6389436254233,70444,095-008-000-3213-1,4,095-008-000-3213-1-4,VueloFotogrametrico
-58.5250024596964,-34.6389273834155,70445,095-008-000-3213-1,5,095-008-000-3213-1-5,VueloFotogrametrico
-58.5238418513006,-34.6388367496259,70446,095-008-000-3213-1,6,095-008-000-3213-1-6,VueloFotogrametrico
-58.5236561041068,-34.6388222940753,70447,095-008-000-3213-1,7,095-008-000-3213-1-7,VueloFotogrametrico
-58.5226719312084,-34.6387456972612,70448,095-008-000-3213-1,8,095-008-000-3213-1-8,VueloFotogrametrico
-58.5266855231281,-34.6373393595938,70449,095-009-001-2135-1,1,095-009-001-2135-1-1,VueloFotogrametrico
-58.5267437820266,-34.6373083844214,70450,095-009-001-2135-1,2,095-009-001-2135-1-2,VueloFotogrametrico
-58.5271497125531,-34.6382481171803,70451,095-009-012-23054-1,1,095-009-012-23054-1-1,VueloFotogrametrico
-58.5266237630845,-34.638254281703,70452,095-009-016-7022-1,1,095-009-016-7022-1-1,VueloFotogrametrico
-58.5265857215152,-34.6382107384171,70453,095-009-016-7022-1,2,095-009-016-7022-1-2,VueloFotogrametrico
-58.5213279770723,-34.6388253750013,70537,095-027-002B-2027-1,1,095-027-002B-2027-1-1,VueloFotogrametrico
-58.5224886848067,-34.6387627320654,70538,095-027-002B-2027-1,2,095-027-002B-2027-1-2,VueloFotogrametrico
-58.5198708475987,-34.638899024078,70539,095-027-012A-19046-1,1,095-027-012A-19046-1-1,VueloFotogrametrico
-58.5196262491374,-34.6389111519754,70540,095-027-017-19046-1,1,095-027-017-19046-1-1,VueloFotogrametrico
-58.5189103755881,-34.6389477594213,70541,095-027-020C-19046-1,1,095-027-020C-19046-1-1,VueloFotogrametrico
-58.5175426011503,-34.6390252456321,70542,095-027-029A-19046-1,1,095-027-029A-19046-1-1,VueloFotogrametrico
-58.517252142269,-34.6390416990874,70543,095-027-032-19046-1,1,095-027-032-19046-1-1,VueloFotogrametrico
-58.5163851563085,-34.6390821981721,70544,095-027-037D-5089-1,1,095-027-037D-5089-1-1,VueloFotogrametrico
-58.5163057656345,-34.63900669855,70545,095-027-037D-5089-1,2,095-027-037D-5089-1-2,VueloFotogrametrico
-58.5168673523971,-34.6385153776735,70546,095-027-042-5089-1,1,095-027-042-5089-1-1,VueloFotogrametrico
-58.5166558424075,-34.6385074824651,70547,095-028-002B-26003-1,1,095-028-002B-26003-1-1,VueloFotogrametrico
-58.5168074985919,-34.6384869121249,70548,095-028-002B-26003-1,2,095-028-002B-26003-1-2,VueloFotogrametrico
-58.514611298446,-34.6384191964403,70549,095-028-023-19045-1,1,095-028-023-19045-1-1,VueloFotogrametrico
-58.5145755048437,-34.6383867460956,70550,095-028-023-19045-1,2,095-028-023-19045-1-2,VueloFotogrametrico
-58.4699120258914,-34.6904684700264,60755,082-043-001-3180-1,2,082-043-001-3180-1-2,VueloFotogrametrico
-58.4709470332216,-34.6896888211988,60756,082-043-012-3168-1,1,082-043-012-3168-1-1,VueloFotogrametrico
-58.47101275883,-34.6896892394478,60757,082-043-012-3168-1,2,082-043-012-3168-1-2,VueloFotogrametrico
-58.4716491767317,-34.6902978215233,60758,082-043-020-3168-1,1,082-043-020-3168-1-1,VueloFotogrametrico
-58.4716436773916,-34.6902580378776,60759,082-043-020-3168-1,2,082-043-020-3168-1-2,VueloFotogrametrico
-58.4705495538521,-34.6911070926976,60760,082-043-030-21001-1,1,082-043-030-21001-1-1,VueloFotogrametrico
-58.4706045377978,-34.6911028751835,60761,082-043-030-21001-1,2,082-043-030-21001-1-2,VueloFotogrametrico
-58.4728306158239,-34.6893713650917,60762,082-044-001-17077-1,1,082-044-001-17077-1-1,VueloFotogrametrico
-58.4717265440301,-34.6902062790718,60763,082-044-013-3168-1,1,082-044-013-3168-1-1,VueloFotogrametrico
-58.4717914613886,-34.690203497013,60764,082-044-013-3168-1,2,082-044-013-3168-1-2,VueloFotogrametrico
-58.4710820785902,-34.6896192415123,60765,082-044-020C-3168-1,1,082-044-020C-3168-1-1,VueloFotogrametrico
-58.4711033554125,-34.6895647878075,60766,082-044-020C-3168-1,2,082-044-020C-3168-1-2,VueloFotogrametrico
-58.4721803139661,-34.6887920582891,60767,082-044-032-3180-1,1,082-044-032-3180-1-1,VueloFotogrametrico
-58.4722784585932,-34.6886992644414,60768,082-045-001-3180-1,1,082-045-001-3180-1-1,VueloFotogrametrico
-58.4733844358874,-34.687893933759,60769,082-045-011A-3180-1,1,082-045-011A-3180-1-1,VueloFotogrametrico
-58.4733332661485,-34.6878909330363,60770,082-045-011A-3180-1,2,082-045-011A-3180-1-2,VueloFotogrametrico
-58.4740215235539,-34.6884942055128,60771,082-045-016-17077-1,1,082-045-016-17077-1-1,VueloFotogrametrico
-58.4740047932886,-34.688445893654,60772,082-045-016-17077-1,2,082-045-016-17077-1-2,VueloFotogrametrico
-58.4729782804801,-34.6893049554274,60773,082-045-027-17077-1,1,082-045-027-17077-1-1,VueloFotogrametrico
-58.4728994717535,-34.6893002047932,60774,082-045-027-17077-1,2,082-045-027-17077-1-2,VueloFotogrametrico
-58.4734609727692,-34.687825696761,60775,082-046-001-3180-1,1,082-046-001-3180-1-1,VueloFotogrametrico
-58.4734718886181,-34.6877775094423,60776,082-046-001-3180-1,2,082-046-001-3180-1-2,VueloFotogrametrico
-58.4745551365501,-34.6870125359228,60777,082-046-013-3195-1,1,082-046-013-3195-1-1,VueloFotogrametrico
-58.47450848731,-34.687005883373,60778,082-046-013-3195-1,2,082-046-013-3195-1-2,VueloFotogrametrico
-58.4751954587232,-34.6876076090865,60779,082-046-020A-3195-1,1,082-046-020A-3195-1-1,VueloFotogrametrico
-58.4751736575864,-34.6875612447584,60780,082-046-020A-3195-1,2,082-046-020A-3195-1-2,VueloFotogrametrico
-58.4740797501532,-34.6883987038506,60781,082-046-032B-9027-1,1,082-046-032B-9027-1-1,VueloFotogrametrico
-58.4741861455336,-34.6883939811089,60782,082-046-032B-9027-1,2,082-046-032B-9027-1-2,VueloFotogrametrico
-58.4757665480527,-34.6861019065736,60783,082-047-001-3229-1,1,082-047-001-3229-1-1,VueloFotogrametrico
-58.4756923733645,-34.6860934446391,60784,082-047-001-3229-1,2,082-047-001-3229-1-2,VueloFotogrametrico
-58.4763841745233,-34.6867170243087,60785,082-047-010-17077-1,1,082-047-010-17077-1-1,VueloFotogrametrico
-58.4763845717888,-34.6866701580996,60786,082-047-010-17077-1,2,082-047-010-17077-1-2,VueloFotogrametrico
-58.4754269607942,-34.6874488645218,60787,082-047-014J-17077-1,1,082-047-014J-17077-1-1,VueloFotogrametrico
-58.4753515845127,-34.6874389830808,60788,082-047-014J-17077-1,2,082-047-014J-17077-1-2,VueloFotogrametrico
-58.4747295542552,-34.6868752125733,60789,082-047-014O-3195-1,1,082-047-014O-3195-1-1,VueloFotogrametrico
-58.4747404042005,-34.6868123094039,60790,082-047-014O-3195-1,2,082-047-014O-3195-1-2,VueloFotogrametrico
-58.4769547818825,-34.6852031544962,60791,082-048-001C-2029-1,1,082-048-001C-2029-1-1,VueloFotogrametrico
-58.4768861082329,-34.6851924898312,60792,082-048-001C-2029-1,2,082-048-001C-2029-1-2,VueloFotogrametrico
-58.4775798121013,-34.6858253611487,60793,082-048-001J-17077-1,1,082-048-001J-17077-1-1,VueloFotogrametrico
-58.4775789249141,-34.6857716135408,60794,082-048-001J-17077-1,2,082-048-001J-17077-1-2,VueloFotogrametrico
-58.4764723162111,-34.6866174276313,60795,082-048-031-3229-1,1,082-048-031-3229-1-1,VueloFotogrametrico
-58.4765492849888,-34.6866138499893,60796,082-048-031-3229-1,2,082-048-031-3229-1-2,VueloFotogrametrico
-58.4758365607864,-34.6860455658089,60797,082-048-037A-3180-1,1,082-048-037A-3180-1-1,VueloFotogrametrico
-58.4758426559327,-34.6859835999046,60798,082-048-037A-3180-1,2,082-048-037A-3180-1-2,VueloFotogrametrico
-58.4678778679283,-34.6908154566188,60799,082-049-001-13004-1,1,082-049-001-13004-1-1,VueloFotogrametrico
-58.4678347031703,-34.6908114888642,60800,082-049-001-13004-1,2,082-049-001-13004-1-2,VueloFotogrametrico
-58.4685099713433,-34.6914062167047,60801,082-049-008-13004-1,1,082-049-008-13004-1-1,VueloFotogrametrico
-58.4685022493845,-34.6913675091186,60802,082-049-008-13004-1,2,082-049-008-13004-1-2,VueloFotogrametrico
-58.4673900466417,-34.6922115413701,60803,082-049-022-2067-1,1,082-049-022-2067-1-1,VueloFotogrametrico
-58.4674746679275,-34.6922122388852,60804,082-049-022-2067-1,2,082-049-022-2067-1-2,VueloFotogrametrico
-58.4667745694324,-34.6916444216637,60805,082-049-028A-3056-1,1,082-049-028A-3056-1-1,VueloFotogrametrico
-58.4667850009506,-34.6915927985348,60806,082-049-028A-3056-1,2,082-049-028A-3056-1-2,VueloFotogrametrico
-58.4679576200889,-34.6907412446568,60807,082-050-001-13004-1,1,082-050-001-13004-1-1,VueloFotogrametrico
-58.4679724344258,-34.6906908473217,60808,082-050-001-13004-1,2,082-050-001-13004-1-2,VueloFotogrametrico
-58.4690233028065,-34.6899063086303,60809,082-050-010-21001-1,1,082-050-010-21001-1-1,VueloFotogrametrico
-58.4690576274447,-34.6899064821166,60810,082-050-010-21001-1,2,082-050-010-21001-1-2,VueloFotogrametrico
-58.4696983029444,-34.6905014538342,60811,082-050-015-21001-1,1,082-050-015-21001-1-1,VueloFotogrametrico
-58.4696899071889,-34.6904590731016,60812,082-050-015-21001-1,2,082-050-015-21001-1-2,VueloFotogrametrico
-58.4685864335841,-34.6913197997416,60813,082-050-024-3180-1,1,082-050-024-3180-1-1,VueloFotogrametrico
-58.3981022014913,-34.594492020102,77947,011-045-008-22012-1,1,011-045-008-22012-1-1,VueloFotogrametrico
-58.5211956052952,-34.6293432498791,71295,093-104-009-19079-1,2,093-104-009-19079-1-2,VueloFotogrametrico
-58.5207784631227,-34.6307246200413,71296,093-104-024-19079-1,1,093-104-024-19079-1-1,VueloFotogrametrico
-58.5208393640979,-34.6306860688372,71297,093-104-024-19079-1,2,093-104-024-19079-1-2,VueloFotogrametrico
-58.5197412356571,-34.6305025800393,71298,093-104-032B-12116-1,1,093-104-032B-12116-1-1,VueloFotogrametrico
-58.5197163586935,-34.6304478971693,71299,093-104-032B-12116-1,2,093-104-032B-12116-1-2,VueloFotogrametrico
-58.5212319558715,-34.6292507390852,71300,093-105-000-12071-1,1,093-105-000-12071-1-1,VueloFotogrametrico
-58.5212777162062,-34.629223685292,71301,093-105-000-12071-1,2,093-105-000-12071-1-2,VueloFotogrametrico
-58.5202064587614,-34.6290424961253,71302,093-105-000-12116-1,1,093-105-000-12116-1-1,VueloFotogrametrico
-58.5201729036257,-34.6289940002255,71303,093-105-000-12116-1,2,093-105-000-12116-1-2,VueloFotogrametrico
-58.5216284083632,-34.6280154039556,71304,093-105-000-19079-1,1,093-105-000-19079-1-1,VueloFotogrametrico
-58.5215913268094,-34.6279770290978,71305,093-105-000-19079-1,2,093-105-000-19079-1-2,VueloFotogrametrico
-58.5205516970574,-34.627797560523,71306,093-105-000-1120-1,1,093-105-000-1120-1-1,VueloFotogrametrico
-58.5206003085402,-34.6277725731598,71307,093-105-000-1120-1,2,093-105-000-1120-1-2,VueloFotogrametrico
-58.5209740900424,-34.6263785729813,71308,093-107-001A-20068-1,1,093-107-001A-20068-1-1,VueloFotogrametrico
-58.5220790601994,-34.6266059873042,71309,093-107-009B-20068-1,1,093-107-009B-20068-1-1,VueloFotogrametrico
-58.5220469271601,-34.6265666279084,71310,093-107-009B-20068-1,2,093-107-009B-20068-1-2,VueloFotogrametrico
-58.5216491789035,-34.6278441305562,71311,093-107-022B-1120-1,1,093-107-022B-1120-1-1,VueloFotogrametrico
-58.5217339816266,-34.6277813776184,71312,093-107-022B-1120-1,2,093-107-022B-1120-1-2,VueloFotogrametrico
-58.5206295819101,-34.6276196550641,71313,093-107-031A-1120-1,1,093-107-031A-1120-1-1,VueloFotogrametrico
-58.5206065818181,-34.6275796444628,71314,093-107-031A-1120-1,2,093-107-031A-1120-1-2,VueloFotogrametrico
-58.3681639274911,-34.6018161872495,71511,001-072-001B-13008-1,3,001-072-001B-13008-1-3,VueloFotogrametrico
-58.3680470607022,-34.6029381628202,71512,001-072-002A-13008-1,1,001-072-002A-13008-1-1,VueloFotogrametrico
-58.3680030766882,-34.6029102015524,71513,001-072-002A-13008-1,2,001-072-002A-13008-1-2,VueloFotogrametrico
-58.3679219946503,-34.6041484505871,71514,001-072-003-13008-1,1,001-072-003-13008-1-1,VueloFotogrametrico
-58.367761781493,-34.6050477488349,71515,001-072-004-13008-1,1,001-072-004-13008-1-1,VueloFotogrametrico
-58.3678206263067,-34.6050048055039,71516,001-072-004-13008-1,2,001-072-004-13008-1-2,VueloFotogrametrico
-58.3633087453686,-34.6243781580049,71517,006-998-999-4098-1,1,006-998-999-4098-1-1,VueloFotogrametrico
-58.3633020886716,-34.6243179964987,71518,006-998-999-4098-1,2,006-998-999-4098-1-2,VueloFotogrametrico
-58.3638947709851,-34.6241506549347,71519,006-998-999-4098-2,1,006-998-999-4098-2-1,VueloFotogrametrico
-58.3639631251488,-34.6240923749525,71520,006-998-999-4098-2,2,006-998-999-4098-2-2,VueloFotogrametrico
-58.3639187700585,-34.6240463449648,71521,006-998-999-4098-2,3,006-998-999-4098-2-3,VueloFotogrametrico
-58.3631472552953,-34.6245525378246,71522,006-998-999-4098-3,1,006-998-999-4098-3-1,VueloFotogrametrico
-58.3624967396468,-34.6243939830277,71523,006-998-999-4098-3,2,006-998-999-4098-3-2,VueloFotogrametrico
-58.3642476059934,-34.624602776629,71524,006-998-999-8030-1,1,006-998-999-8030-1-1,VueloFotogrametrico
-58.3642117194646,-34.6245698301569,71525,006-998-999-8030-1,2,006-998-999-8030-1-2,VueloFotogrametrico
-58.3653071001762,-34.6239656457194,71526,006-998-999-8030-2,1,006-998-999-8030-2-1,VueloFotogrametrico
-58.3657268118404,-34.623869260923,71527,006-998-999-8030-3,1,006-998-999-8030-3-1,VueloFotogrametrico
-58.3635401425879,-34.6247997450804,71528,006-999-999-4098-1,1,006-999-999-4098-1-1,VueloFotogrametrico
-58.3640643860588,-34.6245390083484,71529,006-999-999-4098-1,2,006-999-999-4098-1-2,VueloFotogrametrico
-58.523807706052,-34.6313422200325,71136,093-063-000-7021-1,1,093-063-000-7021-1-1,VueloFotogrametrico
-58.5238533713595,-34.6313042399983,71137,093-063-000-2027-1,1,093-063-000-2027-1-1,VueloFotogrametrico
-58.523367657892,-34.6312530739233,71138,093-063-000-17110-1,1,093-063-000-17110-1-1,VueloFotogrametrico
-58.5233618512587,-34.6312120399057,71139,093-063-000-17110-1,2,093-063-000-17110-1-2,VueloFotogrametrico
-58.5242426520591,-34.6300151956429,71140,093-063-000-2027-1,1,093-063-000-2027-1-1,VueloFotogrametrico
-58.5242273579371,-34.629983609068,71141,093-063-000-2027-1,2,093-063-000-2027-1-2,VueloFotogrametrico
-58.5237560066828,-34.6299049619782,71142,093-063-000-12071-1,1,093-063-000-12071-1-1,VueloFotogrametrico
-58.5230659368882,-34.6281424330745,71201,093-077-027D-2119-1,1,093-077-027D-2119-1-1,VueloFotogrametrico
-58.5230244405655,-34.6280817350735,71202,093-077-027D-2119-1,2,093-077-027D-2119-1-2,VueloFotogrametrico
-58.5237753824472,-34.6256768775678,71203,093-078-001A-2119-1,1,093-078-001A-2119-1-1,VueloFotogrametrico
-58.5238211900903,-34.6256608439282,71204,093-078-001A-2119-1,2,093-078-001A-2119-1-2,VueloFotogrametrico
-58.5248652364959,-34.6259115214485,71205,093-078-009-17110-1,1,093-078-009-17110-1-1,VueloFotogrametrico
-58.5248332436037,-34.6258736083986,71206,093-078-009-17110-1,2,093-078-009-17110-1-2,VueloFotogrametrico
-58.5245086037894,-34.6269866786116,71207,093-078-019C-17110-1,1,093-078-019C-17110-1-1,VueloFotogrametrico
-58.5245611537338,-34.6269443542034,71208,093-078-019C-17110-1,2,093-078-019C-17110-1-2,VueloFotogrametrico
-58.5234589141539,-34.6267645108229,71209,093-078-027C-20068-1,1,093-078-027C-20068-1-1,VueloFotogrametrico
-58.5234389057444,-34.6267237140413,71210,093-078-027C-20068-1,2,093-078-027C-20068-1-2,VueloFotogrametrico
-58.524228551918,-34.6242688658268,71211,093-079-001A-2119-1,1,093-079-001A-2119-1-1,VueloFotogrametrico
-58.5252167104297,-34.6247561054026,71212,093-079-010A-17110-1,1,093-079-010A-17110-1-1,VueloFotogrametrico
-58.5189593984515,-34.6282691856062,71364,093-115A-010-5006-1,1,093-115A-010-5006-1-1,VueloFotogrametrico
-58.518808589144,-34.6287493849314,71365,093-115A-012C-12071-1,1,093-115A-012C-12071-1-1,VueloFotogrametrico
-58.5141612507151,-34.630233059598,70785,091-052-001-9018-1,2,091-052-001-9018-1-2,VueloFotogrametrico
